word,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
salt,,lʊn,,,,,ˈhalɛn,salt,zal(t)s,aˈlati,sɔːlt,sal,næmæk,sal̥t,sɛl,,ˈsalˠən̪ˠ,,s̺al,ˈsolan,,ɑʁ,sal̥t,ˈsale,,zɑlt͡s,,sàːls,,zɑu̯t,,,sul,ˈmɑlɡa,ˈsaɫ,ˈsa.re,solʲ,l̪ɐ.ʋɐ.ɳɐ́,ˈsɔʎ,sóːʋ,ˈkɹi.pə,salt,næmæk,ˈsʲilʲ,,
stone,,pa.tʰɔɹ,,ˈkamək,,,ˈkarɛɡ,,ʃtaɪn,,stəʊn,ˈpjedɾa,sæŋɡ,,pjɛʁ,stiə̯n,klˠɔx,,ˈpɛðɾɐ,klaːx,pət̪.t̪ʰəɾ,kʰɑɾ,steitn,ˈpjɛtra,ˈkɛvɯɾ,ʃteːn,,,,steːn,,ˈpɛjɾo,ˈka.mʲɛɲ,,ˈpɛ.dɾɐ,,ˈkamʲɪnʲ,,ˈkamɛɲ,kàːmən,ɡuɾ,,sæŋ,,,
sand,sant,ba.li,pʲaˈsok,ˈpʲasək,,tʁɛs,,san,zant,,sænd,aˈɾena,,,sɑbl,,ˈɡanʲəvˠ,,ˈʃaβɾe̝,ˈɡʲanʲax,ɾeːt̪,ɑˈvɑz,ˈsantʏr,ˈsab.bja,,zɑnt,,,,zɑnt,sɑnd,ˈsaβlo,ˈpʲa.sɛk,,ɐˈɾɐjɐ,niˈsip,pʲɪˈsok,,ˈpi̯ɛsɔk,pèːsək,,,reɡ,pʲiˈsɔk,,
dust,stɔf,dʱu.li,pɨɫ,,,,ɬuːχ,støːv,ʃtaʊ̯p,,dʌst,ˈpol.bo,,,pu.sjɛʁ,,dʲanˠəx,,pɔ,dʒaun,d̪ʱuːl,pʰoˈʃi,rɪːk,ˈpol.ve.re,,ʃtəps,,,,,,,kuʂ,,ˈpɔ,,pɨlʲ,d̪ʱuː.l̪i,,práːx,,dam,,,d̪ʱuːl,
earth,ˈɑːr.də,,zʲaˈmlʲa,zɛˈmʲa,,,,joːr,ˈeːɐ̯də,,ɜːθ,ˈtje̞.ra̠,,jøːɹ,tɛʁ,,,,,,dʰərtiː,hɔʁ,jœrð,ˈtɛr.ra,,,ˈʒʲæːmʲeː,zɛmɛ,,ˈaːr.də,,,ˈʑɛ.mʲa,,ˈtɛʁɐ,pəˈmɨnt,zʲɪˈmlʲa,,ˈzɛm,zɛ̀ːmlja,ðɛ,juːɖ,,zeˈmlʲɑ,,
cloud,vɔlk,daɔɹ,ˈxmara,,,ˈku.mul,ˈkʊmʊl,,ˈvɔlkə,ˈsinɛfɔ,klaʊd,,(ʔ)æbɾ,skʊt͡ʃː,ny.aʒ,,ˈsˠkamˠəl̪ˠ,ɲiaɫ̪,,,meːɡʱ,ɑmp,sciː,ˈnu.vo.la,,ˈvolək,,,,ʋɔlk,ʃyː,,ˈxmu.ra,,ˈnu.vɐj̃,nor,ˈobləkə,mɐj.ɡʱɐ́,,ɔbláːk,,,,,meːɡʱ,
fog,,,,məˈɡɫa,,,,tɔːɡə,ˈneːbl̩,,fɒɡ,ˈnjebla,mæh,ˈtʰoːʰka,bʁu.jaʁ,,coː,,ˈnɛβo̯a̝,kʲeː,,mɑrɑˈχuʁ,ˈθɔːka,ˈnebbja,,ˈnivəl,ˈruːkɐs,,ˈmaɡla,mɪst,,ˈnɛβlo,mɡwa,,nɨ.ˈvwɐj.ɾu,ˈt͡ʃe̯a.t͡sə,tʊˈman,,ˈɦmɫa,məɡlá,ˈmjɛɡuɫ,,,,,
sky,lœχ,akax,ˈnʲeba,nɛˈbɛ,akaʃ,ˈo.abl,ˈau̯ɨ̞r,,ˈhɪml̩,,skaɪ,firmaˈmento,ɒːsˈmɒːn,ˈhiːmɪn,sjɛl,,eːɾˠ,,ˈθɛ.ʊ,,,jɛɾˈkiŋkʰ,ˈhɪːmɪnː,ˈt͡ʃɛ.lo,,ˈhimel,dɐŋˈɡʊs,,,ˈɦeː.məl,,,ˈɲɛ.bɔ,hask,ˈsɛw,t͡ʃer,ˈnʲebə,,ˈɲɛbɔ,nɛbóː,,,,,,
wind,,bɔtaʱ,,ˈvʲatər,,ˈɑːvɛl,,ʋend,vɪnt,,ˈwɪnd,ˈbjento,bɒːd,ˈvɪntʊɹ,vɑ̃,vin,ɡeː,,ˈbento̝,ɡiː,ɦəʋaː,kʰɑˈmi,ˈvɪntʏr,ˈvɛn.to,,vant,ˈʋʲeːjɛs,vɛ̄ːjʃ,ˈvɛtɛr,ʋɪnt,,,vʲatr,bɑd,ˈvẽ.tu,,ˈvʲetʲɪr,ʋɑ́ː.t̪ɐ,ˈvi̯ɛtɔr,ʋéːtər,ɛːɹ,vɪnd,bɔːd,ˈʋʲiter,ɦəʋaː,
snow,sniu,bɔɹɔf,sʲnʲex,snʲak,bɔrɔf,,ˈei̯ra,,ʃneː,ˈçoni,snəʊ,ˈnjebe,,ˈkʰɛaːvɪ,nɛʒ,sniə̯,ˈʃnʲaxt̪ˠə,,ˈnɛβɪ,ˈʃnʲaxt̪ə,bə.ɾəf,d͡zjun,snjouːr,ˈne.ve,,ʃnɜɪ,sʲnʲjæɡɐs,snìɛks,,sneːu̯,snøː,ˈnɛw,ɕɲɛk,wɑˈwra,ˈnɛ.vɨ,zəˈpadə,sʲnʲek,ɦi.mɐ́,ˈsɲɛx,,,snøː,,ˈsʲnʲiɦ,,
ice,ə̟i̯s,,lʲot,lɛt,bɔrɔf,,jaː,iːs,aɪ̯s,ˈpaɣos,aɪs,ˈɟ͡ʝelo,jæx,ˈʊiːsʊɹ,ɡlas,iːs,əiɾʲ,,ˈʃe.ʊ,,,sɑˈrujt͡sʰ,iːs,ˈɡjat.t͡ʃo,,æi̯s,,lædus,mras,ɛi̯s,iːs,,lut,,ˈʒe.lu,,lʲɵt,,ˈʎat,léːt,,,,,,
smoke,,,dɨm,,,,muːɡ,røj,ʁaʊ̯x,kaˈpno̞s,sməʊk,ˈumo,,ˈɹɔiːjkʊɹ,fy.me,,ˈdʲat̪ˠəx,t̪ɔʰtʲ,ˈfume̝,ˈd͡ʒeːax,d̪ʱuː.ɑ̃ː,t͡suχ,ˈreiːkʏr,,,damp,,,,roːk,,,dɨm,d̪od̪,ˈfu.mu,,dɨm,d̪ʱuː.mɐ́,ˈdim,dím,,,,dɪm,d̪ʱuã,
fire,fyːr,zui,aˈɣonʲ,ˈɔɡən,,ˈtɑ̃ːn,taːn,il,ˈfɔʏər,foˈtça,ˈfaɪ.ə(ɹ),ˈfweɡo,,,fø,fjuə̯r,ˈtʲɪnʲə,ˈtʰʲenə,ˈlu.mɪ,,ɑːɡ,kəˈɾɑk,ˈɛltʏr,ˈfwɔko,,ˈfai̯(e)ʀ,ʊɡˈnʲɪs,uɡuns,,vyr,ɛld,,ˈɔ.ɡʲɛɲ,or,ˈfo.ɣu,fok,ɐˈɡonʲ,ɐɡ.n̪í,ˈɔɦɛɲ,ɔ̀ːɡən,zjaɾm,ˈɛld,,wɔˈɦɔnʲ,,
ash,,saɪ,ˈpopʲeɫ,ˈpɛpɛl,,ˈlyːdy,ˈɬɨ̞du,,ˈaʃə,,ˈæʃ,θeˈniθa,xɒːkʲesˈt̪ʰæɾ,ˈœska,sɑ̃dʁ,ˈjɪskə,l̪ˠuə,,,,rakʰ,moˈχiɾ,ˈaska,,ˈxwɛliː,æʃ,,,,ɑs,,,ˈpɔ.pʲuw,,,,ˈpʲepʲɪl,,ˈpɔpɔɫ,pɛpéːʋ,,,,ˈpɔpʲil,rakʰ,
burn,,zɔ.la,ɣaˈret͡sʲ,,,,ˈɬɔsɡi,,ˈbʀɛnən,,bɝn,aɾˈdeɾ,suːxˈtæn,,bʁy.le,,d̪ˠoːɟ,ɫ̪ɔʃɡ̊ʲ,,,d͡ʒəl.nɑː,ajɾˈvɛl,ˈprɛnːa,,,,,dekt,ˈɡɔɾi,ˈbrɑndə(n),,,ˈpa.lʲit͡ɕ,,ɐɾˈdeɾ,,ɡɐˈrʲetʲ,,,ɡɔrèːti,,,,,dʒəlna,
road,pɑt,bat,,pɤt,ɾast̪a,hɛ̃nd,,,ˈʃtraːsə,ˈðromos,ɹəʊd,kaˈmino,,ˈveːvʊɹ,ʁut,,ˈbˠoːhəɾˠ,,esˈtɾaða̝,reːd̪,səɽək,t͡ʃɑnɑˈpɑɾ,ˈvɛːɣʏr,ˈstrada,,,ˈkælʲɐs,tsɛʎʃ,,baːn,,,ˈdrɔ.ɡa,wɑʈ,iʃ.ˈtɾa.ðɐ,,dɐˈroɡə,,ˈt͡sɛsta,t͡sèːsta,ˈruɡə,vɛːɡ,,dɔˈrɔɦɐ,səɽək,
mountain,,,,pləniˈna,pɔrbɔt,,ˈmənɨ̞ð,bjɛrv,bɛrk,ˈo̞ro̞s,ˈmaʊntɪn,monˈtaɲa,kuːh,fjatl,mɔ̃.taɲ,bɛrx,ʃlʲiəvˠ,,monˈtaɲa̝,slʲuː,pə.ɦɑːɽ,lɛr,fjatl,monˈtaɲɲa,ˈt͡ʃiːjɑː,biə̯χ,ˈka͡l.nɐs,kâlns,,bɛrx,fjɛlː,,ˈɡu.ra,ɣar,mõ.ˈtɐ.ɲɐ,ˈmuntɛ,ɡɐˈra,pɐ́ɽ.ʋɐ.t̪ɐ,ˈɦɔra,ɡɔ̀ːra,mal,bɛrj,,ɦɔˈrɑ,pəhɑːɽ,
red,roːi̯,ɹɔ.ŋa,t͡ʂɨˈrvonɨ,tʃɛrˈvɛn,,,koːχ,røːd,roːt,ˈkocinos,ɹɛd,ˈroxo,ɢeɾˈmez,,ʁuʒ,,ˈdʲaɾˠəɡ,ˈtʲɛrɛk,beɾˈmeʎo̝,,lɑːl,kɑɾˈmiɾ,ˈrøyːðʏr,ˈros.so,,ʀəʊt,rɐʊˈdoːnɐs,sâɾkans,,roːt,ræʉ,,t͡ʂɛrˈvɔ.nɨ,sur,vɨɾ.ˈmɐ(j).ʎu,ˈro.ʃu,ˈkrasnɨj,ɽu.d̪ʱi.ɽɐ́,ˈt͡ʃɛrvɛniː,ərdɛ́t͡ʃ,kuc,røːd,,t͡ʃeˈrwɔnei̯,lal,
green,,xɛu.zia,zʲaˈlʲonɨ,zɛˈlɛn,,,ɡwɨ̞rð,ɡrœn,ɡʁyːn,ˈpɾasinos,ɡɹiːn,ˈberde,sæbz,,vɛʁ,ɡriə̯n,ɡlˠasˠ,ˈuəɲə,ˈbeɾðe̝,,ɦə.ɾɑː,kɑˈnɑt͡ʃʰ,kraitn,ˈver.de,,ɡʀeŋ,,zaʎʃ,,ɣrun,,ˈbert,ʑɛˈlɔ.nɨ,zərˈɣun,ˈveɾ.ðɨ,ˈver.de,zʲɪˈlʲɵnɨj,,ˈze̞.ɫe̞.niː,zɛlɛ́n,ˈɟɛlbəɾ,ɡrøːn,,zeˈlɛnei̯,,ɡʁin
yellow,χɪə̯l,ɦa.lɔ.dʱia,ˈʐou̯tɨ,ʒɤlt,,,ˈmɛlɨ̞n,ɡuːl,ɡɛlp,,ˈjɛl.əʊ,amaˈɾiʎo,,ˈkuːlʊɹ,ʒon,,bˠiː,ˈb̥ujə,,,piˈla,dɛˈʁin,ˈkʏːlʏr,ˈdʒal.lo,ˈzɛɾ,ɡie̯l,,dzæ̀ltæns,,ɣeːl,,,ˈʐuw.tɨ,ʒeɻ,ɐ.mɐ.ˈɾɛ.lu,ˈɡal.ben,ˈʐoltɨj,,ˈʒɫ̩tiː,rumɛ́n,,ɡʉːl,,ˈʒɔu̯tei̯,,
white,vət,bɔ.ɡa,ˈbʲeɫɨ,bʲal,ʃad̪a,,ɡwɨ̞n,,vaɪs,ˈaspro̞s,waɪt,ˈblanko,seˈfiːd̪,ˈkvʊiːjtʊɹ,blɑ̃,vit,bˠɑːn̪ˠ,kʲaɫ̪,ˈbɾaŋkʊ,,səfed̪,əspiˈtɑk,ˈxʷiːtʏr,ˈbjaŋko,ˈspiː,væːɪ̯s,ˈbaːltɐs,bālts,,ʋɪt,kʋiːt,,ˈbʲa.wɨ,spin,ˈbɾɐ̃.ku,alb,ˈbʲelɨj,ɕʋɐj.t̪ɐ́,ˈbi̯ɛli,bèːʋ,baːɾð,,,ˈbʲilei̯,,vajs
black,,kola,ˈt͡ʂornɨ,,,ˈdyː,dɨː,soɐ̯d̥,ʃvarts,ˈmavros,blæk,ˈneɡɾo,sijɒːh,ˈsvaɻ̥ʈʊɹ,nwaʁ,,d̪ˠʊvˠ,t̪ʊv,ˈneɣɾʊ,,kaːlaː,sɛv,ˈsvar̥tʏr,ˈne.ro,,,ˈjûə.dɐs,mǣlns,,zʋɑrt,,,ˈt͡ʂar.nɨ,t̪or,ˈne.ɡɾu,ˈne.ɡru,ˈt͡ɕɵrnɨj,kŕ̩ʂ.ɳɐ,ˈt͡ʃi̯er.ni,t͡ʃə̀rn,zi,svart,,ˈt͡ʃɔrnei̯,kaːlaː,
night,naχ,ɹati,not͡ʂ,nɔʃt,,,noːs,nad̥,naxt,ˈnixta,naɪt,ˈnot͡ʃe,ʃæb,nɔʰtː,nɥi,ˈnaxt,ˈiːhə,,ˈnojt̪ɪ,ɛi,ɾɑːt̪,ɡiˈʃɛɾ,nouʰt,ˈnɔtːe,ˈʃɛv,ˈnuə̯ɕt,nɐkˈtɪs,nakts,nɔc,nɑxt,nɑtː,ˈnɥɛtʃ,nɔt͡s,,ˈnoj.tɨ,ˈno̯ap.te,not͡ɕ,ɽɑ́ːt̪.ɽi,ˈnɔt͡s,nóːt͡ʃ,ˈnaːt,natː,,ˈnʲit͡ʃ,raːt̪,
day,daχ,din,,,,ˈdɛj,dɨːð,døjn,tɑːk,,deɪ,ˈdia,ɾuːz,ˈtɛaːvʊɹ,ʒuʁ,,l̪ˠɑː,,ˈd̪iɐ,,d̪ɪn,ɔɾ,ˈtaːɣʏr,ˈd͡ʒorno,ˈɾoʒ,daːχ,,,,dɑx,,,d͡ʑɛɲ,wrad͡z,ˈdi.ɐ,zi,ˈsutkʲɪ,d̪i.n̪ɐ́,,,,,rɵːz,ˈdɛnʲ,,tɔɡ
year,jɑːr,bɔ.sɔɹ,ɣot,ɡɔˈdinə,,ˈblwaː,,,jaː(ɐ̯),ˈxɾonos,jɪə,ˈaɲo,sɒːl,ɔaːɹ,a.ne,iə̯r,bʲlʲiənʲ,,,blʲeːnʲ,saːl,tɑˈɾi,auːr,ˈan.no,ˈsɑːl,joː(e)ʀ,,,,jaːr,oːr,,rɔk,kɑl,ˈɐ.nu,an,ɡot,,ˈrɔk,lèːtɔ,,,,,,jɔʁ
warm,,ɡɔɹɔm,ˈt͡sʲopɫɨ,ˈtɔpəl,,,,,varm,ze̞ˈsto̞s,wɔːm,kaˈljente,ɡʲæːɾm,,ʃo,vaːrm,tʲɛ,,ˈkɛnt̪ɪ,,,d͡ʒɛɾm,,ˈkaldo,,vaːʀm,ˈʃʲɪltɐs,sīlts,,ʋɑr(ə)m,,,ˈt͡ɕɛ.pwɨ,,,kald,ˈtʲɵplɨj,,ˈcɛpliː,tɔ̀ːpəʋ,,varm,,,,
cold,kœut,,xaˈɫodnɨ,stuˈdɛn,,,oːɨ̯r,kɔl,kalt,,kəʊld,ˈfɾio,sæɾd,,fʁwɑ,,fˠuəɾˠ,fuəɾ,ˈfɾiʊ,,ʈʰən.ɖɑː,ˈsɑrə,ˈkʰaltʏr,ˈfreddo,,kaːl,ˈʃaltɐs,āūksts,,kɑu̯t,,,ˈʑim.nɨ,soɻ,ˈfɾi.u,ˈret͡ʃe,xɐˈlodnɨj,,,,,kal,,xɔˈlɔdnei̯,,
full,fɔl,,ˈpou̯nɨ,ˈpɤlɛn,,,ɬau̯n,fuld,fɔl,ˈpliris,fʊl,,por,ˈfʊtlʊɹ,plɛ̃,,l̪ˠɑːnˠ,lɑːn,ˈt͡ʃeo̝,lɛdn,puːɾn,ˈlikʰə,ˈfʏtɬʏr,ˈpjɛno,ˈtɯʒiː,fol,,pīlns,,vɔl,,,ˈpɛw.nɨ,ɖak,ˈʃɐj.u,plin,ˈpolnɨj,,pl̩niː,pɔ́ːʋn,,fɵl,pur,ˈpɔu̯nei̯,,
new,,nɔ.tun,,nɔf,nɔt̪un,ˈne.ve,ˈnɛu̯.ɨ̞ð,nyː,nɔʏ̯,ˈne̞o̞s,njuː,ˈnwebo,,nʊt͡ʃːʊɹ,nu.vo,nɛi̯,n̪ˠuə,uːɾ,ˈnɔ.βʊ,,nə.jɑː,nɔɾ,niːr,ˈnwɔ.vo,ˈnuː,nɑɪ̯,,jaûns,,niu̯,,,ˈnɔ.vɨ,ˈnəwai,ˈno.vu,now,ˈnovɨj,n̪ɐ.ʋɐ,ˈnɔviː,nɔ́ʋ,ɾi,ny,,,n̪əjaː,
old,œu,pu.ɹɔ.na,staˈrɨ,star,,,heːn,ɡaməl,alt,,ˈəʊld,anˈtiɡwo,ɢæd̪iːˈmiː,kɛaːmal,vjø,ɔːt,ʃanˠ,ʃɛn,,,pʊ.ɾɑː.nɑː,hin,ˈkaːmatl,ˈvɛk.kjo,ˈkɛvn,,ˈsʲæːnɐs,,,ɑu̯t,²ɡɑːmɑl,,ˈsta.rɨ,,ˈvɛ.ʎu,vekʲ,ˈstarɨj,,ˈstariː,stár,,,,,,
good,χut,bʱal,ˈdobrɨ,doˈbɤr,bʱɑlo,,daː,ɡoð,ɡuːt,kaˈlos,ɡʊd,ˈbweno,xuːb,ˈkɔuːwʊɹ,bɔ̃,,mˠa,maː,ˈbo,,ət͡ʃ.t͡ʃʰɑː,lɑv,ˈkouːðʏr,ˈbwɔː.no,,,ˈɡʲæɾɐs,,,ɣut,,,ˈdɔ.brɨ,xə,bõ,bun,xɐˈroʂɨj,s̪ɑː.d̪ʱú,ˈdɔbriː,dòːbər,majɾ,ɡuːd,,ˈdɔbrɪj,əˈtːʃʰaː,ɡʊt
bad,,bɛa,ˈdrenːɨ,,kʰaɾap,,druːɡ,dɔːli,ʃlɛçt,kaˈkos,bæd,ˈmalo,bæd,ˈɪtlʊɹ,mo.vɛ,,ˈd̪ˠʊnˠə,ˈt̪ɔnə,,,,vɑt,ˈvɔntʏr,kaˈtːiːvo,,,ˈbloːɡɐs,,,slɛxt,,,zwɨ,bəd,ʁuˈĩ,rəw,plɐˈxoj,,ˈzɫiː,sláp,,ˈdoː.lɪ(ɡ),,,,
rotten,,,ɣnʲiˈɫɨ,,,,,rɔdən,faʊ̯l,ˈsapços,ˈɹɑtn̩,,,,puʁi,,ˈl̪ˠɔfˠə,,ˈpoðɾe̝,,,pʰəˈtɑt͡s,,,,,,,,rɔt,,,ˈzɡɲi.wɨ,,ˈpo.ðɾɨ,ˈpu.tred,ɡnʲɪˈloj,,ˈɦɲiliː,ɡníːʋ,,,,,,
dirty,,lɛ.tɛ.ɹa,ˈbrudnɨ,,,,,beskit,ˈʃmʊt͡sɪç,,ˈdɜːti,ˈsuθjo,kʲæˈsiːf,,sal,,sˠəˈl̪ˠax,,,,ɡən.d̪ɑː,kɛχˈtɔt,ˈouːr̥eitn,ˈspɔrko,,,,nɛtīːɾs,,vœy̯l,²ʃɪtːn̩,,ˈbrud.nɨ,sxɑ,ˈsu.ʒu,murˈdar,ˈɡrʲaznɨj,,,umáːzan,,,,,ɡə̃nd̪ə,
straight,,pʊn,praˈmɨ,,,,,,ɡəˈraːdə,,stɹeɪt,,mostæɣiːm,,dʁwɑ,,ˈdʲiːɾʲəx,tʲiːɾʲəx,,,siː.d̪ʱɑː,uˈʁiʁ,peitn,dritto,,ʀiːχt,,,,rɛxt,,,ˈprɔ.stɨ,,ˈʁɛ.tu,drept,prʲɪˈmoj,,,,,,,,,
round,,,ˈkruɣɫɨ,,,,krʊn,,ʀʊnt,,ˈɹaʊnd,reˈdondo,,,ʁɔ̃,,kɾˠiːnʲ,kʰruɪɲ,reˈðondo̝,,,,,roˈtondo,,,,,,rɔnt,,,ɔˈkrɔŋ.ɡwɨ,ɡərd,ʁɨ.ˈdõ.du,roˈtund,ˈkruɡlɨj,,,ɔkròːɡəʋ,,,,,,
sharp,,,ˈvostrɨ,osˈtɤr,,,,,ʃarf,kofteˈros,ʃɑːp,aˈɡudo,teːz,ˈkvasːʊr,a.fi.le,,ɟeːɾˠ,,,,,suɾ,xʷasː,affiˈlato,,,ɐʃt̪ˈrʊs̪,as,,sxɛrp,,,ˈɔ.strɨ,,a.fi.ˈa.du,as.kuˈt͡sit,ˈostrɨj,,,òːstər,,,,,,
dull,,,tuˈpɨ,,,,,sløːv,ʃtʊm(p)f,,dʌl,ˈromo,,,e.mu.se,,,,,,,butʰ,,,,,,,,bɔt,,,ˈtɛm.pɨ,,ˈsɛ.ɣu,toˈt͡ʃit,tʊˈpoj,,ˈtupiː,tɔ́p,,,,,,
smooth,,,ˈɣɫatkʲi,,,,,,ɡlat,,smuːð,ˈliso,,,lis,,kiːnʲ,miːn,,,t͡ʃɪk.nɑː,hɑɾtʰ,ˈstljɛhtʏr,ˈliʃʃo,,ɡlaːt,,,,ɣlɑt,,,ˈɡwat.kʲi,,ˈli.zu,ˈne.ted,ˈɡlatkʲɪj,,,,,,,,,
wet,,ti.ta,ˈmokrɨ,,,,ɡwlɨːb,vɔːd,nas,,wɛt,moˈxado,xiːs,,mu.je,,fʲlʲʊx,flux,,,ɡiːlaː,tʰɑt͡sʰ,ˈvɔːtʏr,baɲˈɲato,,naːs,,slapʲʃ,,nɑt,,,ˈmɔ.krɨ,lund̪,muˈʎaðu,ud,ˈmokrɨj,,ˈmokriː,mòːkər,,voːt,,,ɡiːlaː,
dry,,xu.kan,suˈxʲi,,,ˈsɛːχ,sɨːχ,tœːr,ˈtʁɔkən,,dɹaɪ,ˈseko,xoʃk,,sɛk,,ˈtʲɪɾʲəmʲ,ˈtʃʰiɾəm,,,suː.kʰɑː,t͡ʃʰoɾ,θʏrː,ˈsekko,,ˈdʀeχen,,sàws,,droːx,,,ˈsu.xɨ,,ˈse.ku,usˈkat,sʊˈxoj,ɕúʂ.kɐ,ˈsuxiː,súːx,,,,,suːkʰa,
correct,,xu.dʱɔ,praˈvʲilʲnɨ,ˈvɛrɛn,,,ˈkəu̯.ɪr,,kɔˈʁɛkt,so̞ˈsto̞s,kəˈɹɛkt,koˈreɡto,doˈɾos(t),,kɔʁɛkt,,,,,,sə.ɦiː,t͡ʃiʃt,ˈrjɛht,korˈrɛtto,,,,paɾɛ̄īs,,,,,pra.vʲiˈdwɔ.vɨ,,ku.ˈʁɛ.tu,koˈrekt,ˈpravʲɪlʲnɨj,,,praʋíːlən,,,,,səɦiː,
near,,,ˈblʲiskʲi,ˈblizək,,,,nɛːr,naː,,nɪə(ɹ),ˈθerka,næzˈd̪iːkʲ,,pʁɛ,,d̪ˠlˠuː,dɫ̪uː,,,,mɔt,,viˈtʃino,,,,,,,næːr,,ˈblʲis.kʲi,niɡˈde,ˈpɛɾ.tu,a.ˈpro̯a.pe,ˈblʲiskʲɪj,,,,,,,,,
far,,,daˈlʲokʲi,dəˈlɛtʃɛn,,,pɛɬ,,fɛʁn,makriˈa,fɑː,leˈxano,,,lwɛ̃.tɛ̃,,ˈfˠɑd̪ˠə,,,,d̪uːɾ,hɛˈru,,lonˈtano,,,,tâːls,,vɛr,,,daˈlɛ.kʲi,ˈləre,ˈlõ.ʒɨ,deˈpar.te,dɐˈlʲɵkʲɪj,d̪uː.ɽɐ́,,dàːlɛt͡ʃ,,,,,,
right,,,ˈprava,,,,hau̯l,rɛt,ʁɛçt,ðiˈceoma,ˈɹaɪt,deˈɾet͡ʃo,,,dʁwɑ,,,,,,ə.d̪ʱɪ.kɑːɾ,iɾɑˈvuŋkʰ,ˈrjɛhtɪntɪ,,,,,,,rɛxt,rɛtː,,ˈpra.vɔ,,d͡ʒiˈɾejtu,drept,ˈpravə,,,praʋìːt͡sa,,,,,,
left,,,,ˈlʲaf,,,χwiːθ,,lɪŋk,,lɛft,iθˈkjerdo,tʃæp,,ɡoʃ,,clʲeː,kʰʲaːrˠ,,,,d͡zɑχ,,,,leŋks,,kɾèjs,,lɪŋks,,,ˈlɛ.vɨ,,iʃ.ˈkeɾ.ðu,stɨŋɡ,ˈlʲevɨj,,,,,,,,,
at,,,,,,,ʊrθ,,an,ˈston,æt,en,dæɾ,ʊiː,a,,ə,,,,pəɾ,,,a,,,pɐs,,vɔ,ɔp,poː,,f,,ˈa,la,vɛ,,,pri,ˈnə,poː,,,,
in,,bʱi.tɔɹ,,vɤ,,,ən,,ʔɪn,en,ɪn,en,dæɾ,ʊiː,dɑ̃,,ɪ,,,,ən.d̪əɾ,mɛt͡ʃʰ,,ˈin,,,,,vɔ,ɪn,iː,,f,,ẽj̃,ɨn,vɛ,,,ʋ,ˈnə,,dær,,,
with,,xoɪ.tɛ,,sɤ,ˈʃɔŋɡe,,a,mɛd,mɪt,me̞,wɪð,kon,bɒː,viː,a.vɛk,,lʲɛ,,ko̝ŋ,,sɑːt̪ʰ,hɛt,,kon,,mɑt,sʊ,,,mɛt,meː,,s,,kõ,ku,s,,s,s,mɛ,meː(d),bɔː,z,,
and,ɛn,a.ɹu,i,i,,,,ˈɒw,ʊnt,ce̞,ænd,ʝ,o,oː,e,ɛn,ˈɑɡəsˠ,,,,ɔːɾ,ɛv,ɔːɣ,e,ˈuː,an,,ùn,i,ɛn,oː,,i,aw,ˈɛ,ʃi,i,t͡ɕɐ,,in,ðɛ,ɔ,,ˈi,,ʊn
if,,,,,,,ɔs,ves,vɛn,,ɪf,si,ˈæɡʲæɾ,,si,ɔs,mˠɑː,,,,ə.ɡəɾ,jɛˈtʰɛ,ɛːv,se,,,jæj,,ˈakɔ,ɑ(l)s,,,ˈjɛɕ.lʲi,,sɨ,ˈda.kə,ˈjes⁽ʲ⁾lʲɪ,,ak,t͡ʃɛ,,ɔm,,,,
because,,,,,,,ˈaχɔs,,vaɪ̯l,,bɪˈkɒz,ˈporke,,tʊiː,paʁ.skə,,oːɾʲ,ˈɔir,,,ˈkjũ.ki,vɔɾɔfhɛˈtɛv,,perˈke,,væl,nʲɛs,,,ɔm.ˈdɑt,,,bɔ,ˈdzəka tʃe,poʁ.ˈke,ˈpen.tru kə,pətɐˈmu‿ʂtə,,ˈprɛtɔʒɛ,kɛr,,,,bɔ,,
name,,,jiˈmʲa,ˈimɛ,nam,,ˈɛnu,,ˈnaːmə,ˈo̞no̞ˌma,neɪm,ˈnom.bɾe,nɒːm,naun,nɔ̃,,ˈanʲəmʲ,,,ˈenəm,naːm,ɑˈnun,napn,ˈno.me,ˈnɑːv,num,ˈvɐrːdɐs,vàːɾds,,naːm,,,ˈi.mʲɛ,,ˈno.mɨ,ˈnu.me,ˈimʲə,n̪ɑ́ː.mɐn̪,ˈmɛnɔ,iméː,ɛməɾ,namn,nɔːm,iˈmjɑ,,nɔmɛn
