word,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
husband,,ɡi.ɹi,muʂ,ˈmɤʃ,sami,ˈɡwaː,ɡuːr,mæn,,,ˈhʌzbənd,maˈɾido,ʃoʊˈhæɾ,ˈmɛaːvʊɹ,ma.ʁi,,fʲaɾˠ,,,,,ɑmuˈsin,ˈeiːjɪn.maːðʏr,maˈri.to,,mɑn,ˈʋʲiːrɐs,vīːɾs,maʃ,mɑn,,,mɔ̃ʂ,,ma.ˈɾi.du,sots,muʂ,,,móːʃ,bur,ˈmɑːˌkɛ,,t͡ʃɔlɔˈu̯ʲik,,
mother,,ma,,ˈmajkə,,ˈmãmː,mam,,ˈmʊtɐ,miˈtera,ˈmʌðə(ɹ),ˈmadɾe,mɒːˈd̪æɾ,ˈmɔuwɪr,mɛʁ,,ˈmˠɑːhəɾʲ,ˈmaːhəɾʲ,ˈnaj,maːɹ,,mɑjɾ,ˈmamːa,ˈma.dre,,mɑm,,māːtɛ,,ˈmu.dər,,ˈmajɾe,ˈmat.ka,mor,mɐ̃j̃,ˈma.mə,matʲ,ɐm.bɑ́ː,ˈmatka,màːti,nənə,muːr,mɔːdær,ˈmɑte,,ˈmʊtəʁ
father,fɑːdər,dɛʊ.ta,ˈbat͡sʲka,bɐˈʃta,abba,ˈtɑːt,taːd,,ˈfaːtər,paˈteras,ˈfɑː.ðə(ɹ),ˈpadɾe,pʰeˈd̪æɾ,ˈfɛaːjɪɹ,pɛʁ,hai̯t,ˈahəɾʲ,ˈahəɾʲ,,ˈeːar,pɪ.t̪ɑː,hɑjɾ,ˈfaːðɪr,ˈpa.dre,,pɑp,ˈtʲeːvɐs,tǣːws,,ˈvaː.dər,,ˈpajɾe,ˈɔj.t͡ɕɛt͡s,,paj,ˈta.tə,ɐˈtʲet͡s,pi.t̪ŕ̩,ˈɔcɛt͡s,ɔ̀ːt͡ʃɛ,baba,,,ˈbɑtʲkɔ,pət̪ɑː,ˈfɔtəʁ
animal,,,,ʒiˈvɔtno,,ˈlo.ɛ̃n,aˈnɪvai̯l,dyːr,tiːɐ̯,ˈzo.o,ˈænɪməl,aniˈmal,dʒɒːnˈvæɾ,t͡ʃɔuːr,a.ni.mal,,anʲəvʲiː,,,,pə.ʃuː,kɛntʰɑˈni,tiːr,aniˈmale,,dei̯(e)ʀ,ɡʲiːˈʋuːnɐs,dzîunìɛks,ʒiˈvɔtnɔ,dir,,,ˈzvʲɛ.ʐɛ,,ˌɐ.ni.ˈmaw,a.niˈmal,ʐɨˈvotnəjə,pɐ́.ɕu,ˈʒivɔt͡ʃiːx,ʒiʋáːʋ,,jʉːr,,tʋɐˈrɪnɐ,,
fish,fəs,mas,ˈrɨba,ˈribə,mɑtʃʰ,,pəsˈɡɔdɨ̯n,fesk,fɪʃ,ˈp͡sari,fɪʃ,ˈpeθ,mɒːhiː,ˈfɪskʊɹ,pwa.sɔ̃,fɪsk,iəsˠk,,ˈpejʃe̝,jiːst,mət͡ʃʰ.liː,d͡zuk,ˈfɪskʏr,ˈpeʃːe,ˈmɑːsiː,feʃ,,ziws,,vɪs,,,ˈrɨ.ba,kab,ˈpɐjʃɨ,ˈpeʃte,ˈrɨbə,mɐ́t̪.s̪jɐ,ˈriba,rìːba,pɛʃk,fɪsk,mɔːhiː,ˈrɪbɐ,,fɪʃ
bird,,sɔɹaɪ,,ˈptitsə,,,aˈdɛrɨ̞n,fuːl,ˈfoːɡəl,puˈli,bɜːd,ˈpaxaɾo,pʰæɾænˈde,,wa.zo,,eːnˠ,ian,,ˈoʒaɡ,t͡ʃɪ.ɽiː.jɑː,tʰərˈtʃʰun,fʏkl,uˈt͡ːʃɛlːo,,ˈfuʁəl,ˈpɒʊk.ʃtʲɪs,,ˈpti.t͡sa,ˈvoːɣəl,fʉɡl,awˈsɛl,ptak,marˈɣa,ˈpa.sa.ɾu,,ˈptʲit͡sə,ʋí,ˈftaːk,ptít͡ʃ,zɔɡ,foːɡəl,paɾːanˈda,ˈptɑx,,fɔjɡl
dog,ɦɔnt,kukuɹ,,ˈkutʃɛ,kukuɾ,,kiː,hun,hʊnt,ˈscilos,dɒɡ,ˈpero,sæɡ,ˈhʊntʊɹ,ʃjɛ̃,huːn,ˈmˠad̪ˠɾˠə,kuː,,ˈmɔːðə,kʊt̪.t̪ɑː,ʃun,ˈhʏntʏr,ˈka.ne,,hont,ʂuə,,,ɦɔnt,,ˈɡus,pʲɛs,,ˈkɐ̃w̃,ˈkɨj.ne,sɐˈbakə,ɕʋɐ́n̪,ˈpɛs,pə́s,cɕɛn,hɵnd,sæɡ,,kutɑː,hʊnt
louse,,,voʂ,ˈvɤʃkə,,ˈlɔw,ˈɬeɨ̯.ɛn,,laʊ̯s,,laʊs,ˈpjo.xo,ʃeˈpeʃ,lʉuːs,pu,,,,piˈoʎo̝,,dʒũː,vɔˈt͡ʃʰil,luːs,pi.ˈdɔk̚.kjo,,,,,ˈvɔʃka,lœy̯s,,peˈzul,vɛʂ,,pi.ˈo.ʎu,,voʂ,,ˈvɔʃ,úːʃ,mɔr,,,ˈwɔʃɐ,dʒũː,
snake,slɑŋ,xap,zʲmʲaˈja,zmiˈja,ʃɑp,ˈnaɛr,nei̯dr,,ˈʃlaŋə,ˈfiði,ˈsneɪk,serˈpjente,mɒːɾ,,sɛʁ.pɑ̃,,ˈn̪ˠæhəɾʲ,,ˈsɛɾpe̝,,sɑ̃ːp,ɔt͡sʰ,ˈstnauːkʏr,serˈpɛn.te,,ʃlaːŋ,ɡʲiːˈʋaːtʲeː,tʃūska,,slɑŋ,,,vɔ̃ʂ,,ˈkɔ.bɾa,ˈʃarpe,zmʲɪˈja,s̪ɐɽ.pɐ́,ˈɦat,kàːt͡ʃa,ˈɟaɾpəɹ,ˈʊrm,mɔːr,,sãp,ʃlaŋ(ɡ)
worm,,,,ˈtʃɛrvɛj,,pʁɛ̃,,,,skuˈli.ci,wɜːm,ɡuˈsano,,,vɛʁ,,pʲeːʃtʲ,,ˈbɛɾme̝,beˈʃtʲeːɡ,kiː.ɽɑː,vɔɾtʰ,ˈmaθkʏr,ˈvɛrme,,muə̯t,,,,ʋɔrm,,,ˈrɔ.bak,,ˈvɛɾ.mɨ,,t͡ɕerfʲ,,ˈt͡ʃɛrw,t͡ʃə́rʋ,kɾimb,,kirm,,kiɽa,
tree,bʊəm,ɡɔs,ˈdreva,dərˈvɔ,ɡɑs,ɡwe,ˈkɔɨ̯dɛn,trɛː,baʊ̯m,ˈðe̞n.dro̞,tɹiː,ˈarbol,deˈɾæxtʰ,tɹɛaː,aʁbʁ,bɪə̯m,kɾˠaun̪ˠ,,,ˈbilʲə,,t͡sɑr,tʰrjɛː,ˈal.be.ro,,baːm,ˈmʲæːdʲɪs,kùoks,,boːm,,,ˈdʐɛ.vɔ,ˈwəna,ˈaɾ.vu.ɾɨ,ˈarbore,ˈdʲerʲɪvə,,strɔm,drɛʋóː,,,,,,bɔjm
