word,ka,vro,xmf,sv,lzz,de,et,fi,en,da,sva
tie,däbmä,ˈkːøytːmæ,dɔkʼiruä,,mɛkʼiru,ˈbɪndn̩,ˈsidumɑ,ˈsitoɑ,taɪ,benə,libɛm
lake,tʼbä,ˈjærv,tʼɔbä,ɧøː,tʼɔbä,zeː,ˈjærʋ,ˈjærʋi,leɪk,søː,tʼɔb
dig,tʰχrä,ˈkːɑipmɑ,ntʰχɔruä,,ɔntʰχɔru,ˈɡʁaːbən,ˈkɑeʋɑmɑ,ˈkɑiʋɑː,dɪɡ,ɡraːvə,libərdʒɛ
hair,tʰmä,ˈkːɑrv,tʰumä,hoːr,tʰɔmä,haːɐ̯,ˈkɑrʋ,ˈkɑrʋɑ,hɛə,,pʰätʰw
flow,dinɛbä,ˈjuːsːkːmɑ,ulä,,ɔzimzilu,ˈfliːsn̩,ˈʋoːlɑmɑ,ˈʋirːɑtɑ,fləʊ,,lizi
worm,tʃʼiä,ˈhusː,tʃʼiä,,tsʼitsʼi,,ˈusː,ˈmɑto,wɜːm,,mətʼ
count,tʰvlä,ˈlukɤmɑ,kʼɔrɔtsχuä,,ɔkʼɔrɔtsχu,ˈt͡sɛːlən,ˈlugemɑ,ˈlɑskeɑ,kaʊnt,,liʃɛldɛ
some,zɔgi,ˈmɤni,nämtʰinɛ,ˈnoːˌ(ɡ)ra,bäzi,,ˈmɤni,ˈjokin,sʌm,noən,ɛrχi
hold,dätʃʼɛrä,ˈpːitæmæ,däkʼinɛbä,,ɔkʰätʃu,ˈhaltn̩,ˈhoidmɑ,ˈpitæː,həʊld,,lirmi
ice,qʼinuli,ˈijæ,ʔini,,buzi,aɪ̯s,ˈjæː,ˈjæː,aɪs,iːs,kʼwärɛm
water,tsʼqʼäli,ˈvesːi,tsʼqʼäri,ˈvatːɛn,tsʼkʼäri,ˈva.sɐ,ˈʋesi,ˈʋesi,ˈwɔːtə,vand,lits
not,är,ˈei,vär,ˈɪnˌtɛ,vär,nɪçt,ˈei,ˈei,nɒt,ekə,dɛmɛ
walk,siäruli,ˈkːæymæ,gilulä,ɡoː,gɔlvä,ˈlaʊ̯fən,ˈkæimɑ,ˈkæʋelːæ,wɔːk,ɡɔː,lizɛläl
cloud,ʁrubɛli,ˈpːilv,munäpʰä,,pʼulä,ˈvɔlkə,ˈpilʋ,ˈpilʋi,klaʊd,,mɛrɛ
green,mtsʼvänɛ,ˈrohilinɤ,tsʼvänɛ,ɡrøːn,χäntʃʼɛni,ɡʁyːn,ˈroheline,ˈʋihreæ,ɡɹiːn,ɡrœn,jərʒi
dog,dzäʁli,ˈpːini,dʒɔʁɔri,hɵnd,dʒɔʁɔri,hʊnt,ˈkoer,ˈkoirɑ,dɒɡ,hun,ʒɛʁ
skin,kʼäni,ˈnɑhkː,tʼqʼɛbi,hʉːd,tʼkʼɛbi,haʊt,ˈnɑhk,ˈiho,skɪn,,kʼæn
forest,tʼqʼɛ,ˈmɤtːsː,tʼqʼä,skuːɡ,gɛrmä,valt,ˈmets,ˈmetsæ,ˈfɒɹɪst,,tsχɛkʼ
child,bävʃvi,ˈlɑtːsː,bäʁänä,bɑːrn,bɛrɛ,kɪnt,ˈlɑps,ˈlɑpsi,t͡ʃaɪld,barn,bɛpʰʃw
rain,tsʼvimä,ˈvihm,tʃʼvɛmä,rɛŋn,mtʃʼimä,ˈʁeːɡən,ˈʋihm,ˈsɑde,ɹeɪn,ˈʁɑɪ̯ˀn,utʃχɛ
in,ʃi,ˈhn,,iː,,ʔɪn,ˈs,ˈsːɑ,ɪn,,sgä
sleep,dzili,ˈmɑkɑmɑ,luri,soːva,ndʒiri,ˈʃlaːfn̩,ˈmɑgɑmɑ,ˈnukːuɑ,sliːp,,uʒ
wife,tsɔli,ˈnɑːnɤ,ɔsuri,hɵ̄sːtrʉ̂ː,ɔχɔrdʒä,,ˈnɑine,ˈʋɑimo,waɪf,,χɛχw
how,rɔgɔr,ˈkːui,mutʃʼɔ,hʉːr,mutʃʼɔ,viː,ˈkuidɑs,ˈkuinkɑ,haʊ,,imʒi
see,χɛdvä,ˈnækemæ,rtsʼqʼɛbä,seː,ɔtsʼkʼɔmilu,ˈzeː.ən,ˈnægemɑ,ˈnæhdæ,siː,seː,lisgdi
all,qʼvɛlä,ˈkːɤikː,ärdzä,ˈalˌa,iri,al,ˈkɤik,ˈkɑikːi,ɔːl,alə,mæg
vomit,rtsʼqʼɛvä,ˈosːsːɤntɑmɑ,rtsʼqʼiälä,,ɔntʰχɔru,ˌyːbɐˈɡeːbən,ˈoksendɑmɑ,ˈoksentɑː,ˈvɒmɪt,,litʼχunɛ
white,tʰɛtʰri,ˈvɑlkɤ,tʃɛ,,χtʃɛ,vaɪs,ˈʋɑlge,ˈʋɑlkoinen,waɪt,,tʰɛtʰnɛ
lie,tsʼɔlä,ˈvɤlsːmɑ,dɔndʒirä,lœŋn,dɔndʒiru,ˈlyːɡə,ˈlɑmɑmɑ,ˈmɑːtɑ,laɪ̯,løɡn,liqʼwrɛ
sun,mzɛ,ˈpːæiv,bʒä,suːl,mʒɔrä,ˈzɔnə,ˈpæike,ˈɑurinko,sʌn,soːl,miʒ
mother,dɛdä,ˈimæ,didä,muːr,nänä,ˈmʊtɐ,ˈemɑ,ˈæiti,ˈmʌðə(ɹ),,di
root,pʰɛsvi,ˈjuːr,dʒindʒi,,dʒidʒi,ˈvʊʁt͡sl̩,ˈjuːr,ˈjuːri,ɹuːt,roːd,tsʼusχund
fruit,χili,ˈvili,χili,ˈfrɵkt,χilä,fʁʊxt,ˈʋili,ˈhedelmæ,fɹuːt,frɔɡt,χil
wing,pʰrtʰä,ˈsːiːp,suä,ˈvɪŋˌɛ,msvä,ˈflyːɡl̩,ˈtiːb,ˈsiːpi,wɪŋ,,kʼäbərdʒ
stab,rtʃʼɔbä,ˈtːsːusːkːɑmɑ,tsikʼäpʰä,,ɔtsigu,ˈʃtɛçn̩,ˈpistmɑ,ˈpistæː,stæb,,liswɛm
rotten,dämpʼäli,ˈmætæ,ʔɔrädili,,χtsäpʰɛri,faʊ̯l,ˈmædɑ,ˈmætæ,ˈɹɑtn̩,rɔdən,mɛkʰwrɛ
feather,bumbuli,ˈsːulk,burdʁä,,bundʁä,ˈfeːdəʁ,ˈsulg,ˈsulkɑ,ˈfɛð.ə(ɹ),fjeːr,pʼintʼqʼil
leg,pʰɛχi,ˈsːiːr,kʼutʃχi,ˈbeːn,kʼutʃχɛ,baɪ̯n,ˈsæːr,ˈsæːri,lɛɡ,beːn,tʃʼiʃχ
where,säd,ˈkːon,sɔ,dɛːr,sɔ,voː,ˈkus,ˈmisːæ,ʍɛə(ɹ),,imɛg
because,rädgän,ˈsːelːe etː,räχäns,,ɔkʰi,vaɪ̯l,ˈsest,ˈkoskɑ,bɪˈkɒz,,läχä
sew,kʼɛrvä,ˈumplɤmɑ,tʃʼälä,,ɔtʃʼu,ˈnɛːən,ˈɤmblemɑ,ˈomːelːɑ,səʊ,syː,liʃχbi
here,äkʰ,ˈtːɑn,tʰäkʰ,hæːr,äkʰ,hiːɐ,ˈsiːn,ˈtæːlːæ,hɪə(ɹ),,ämɛtʃu
fingernail,pʰrtʃχili,ˈkːɨːtsː,birtsχä,,butsχä,ˈfɪŋɐnaːɡl̩,ˈkiːs,ˈkynsi,ˈfɪŋɡɚˌneɪl,najl,tsχä
laugh,sitsili,ˈnɑːrtmɑ,dzitsä,,dzitsini,ˈlaχn̩,ˈnɑermɑ,ˈnɑurɑː,laːf,leː,litswnäl
ash,pʰɛrpʰli,ˈtːuhkː,nätʃʼvi,,nɔmtʃkʰä,ˈaʃə,ˈtuhk,ˈtuhkɑ,ˈæʃ,,kʰæm
warm,tʰbili,ˈlæmːi,tʼibu,varm,tʼibu,vaʁm,ˈsoe,ˈlæmːin,wɔːm,,tʼɛbdi
this,ɛs,ˈsːeo,tʰɛnä,,äjä,ˈdiːzər,ˈseː,ˈtæmæ,ðɪs,,äli
old,dzvɛli,ˈvɑnɑ,dʒvɛʃi,,mdʒvɛʃi,alt,ˈʋɑnɑ,ˈʋɑnhɑ,ˈəʊld,ɡaməl,dʒwinɛl
sky,tsä,ˈtːɑivɑsː,tsä,,tsä,ˈhɪml̩,ˈtɑeʋɑs,ˈtɑiʋɑs,skaɪ,,dɛts
ear,qʼuri,ˈkːɤrv,ʔudʒi,øːra,qʼudʒi,oːr,ˈkɤrʋ,ˈkorʋɑ,ɪə̯,øːrə,ʃdim
tooth,kʼbili,ˈhɑmːɑsː,kʼibiri,ˈtand,kʼibiri,t͡saːn,ˈhɑmːɑs,ˈhɑmːɑs,tuːθ,tan,ʃdikʰ
moon,mtʰvärɛ,ˈkːuː,tʰutʰä,ˈmoːˌnɛ,tʰutʰä,moːnt,ˈkuː,ˈkuː,muːn,,dɔʃdul
live,tsχɔvrɛbä,ˈelæmæ,rinä,leːva,skʰidälä,ˈleːbən,ˈelɑmɑ,ˈelæː,lɪv,leːvə,lidrɛ
bark,kʰɛrkʰi,ˈkːuːrʲ,tʼqʼɛbi,,tʼkʼɛbi,ˈbɔʁkə,ˈkoːr,ˈkuori,bɑːk,bark,tʼɛpʰ
if,tʰu,ˈkːu,vär,ɔm,vänä,vɛn,ˈkui,ˈjos,ɪf,ves,läχ
stone,kʰvä,ˈkːivi,kʰuä,,kʰvä,ʃtaɪn,ˈkiʋi,ˈkiʋi,stəʊn,,bætʃ
burn,tsʼvä,ˈpːɑlɑmɑ,tʃʼuälä,,ɔtʃʼu,ˈbʀɛnən,ˈpɤlemɑ,ˈpɑlɑː,bɝn,,liʃχi
straight,stsʼɔri,ˈɤkɤv,tʰini,,duzi,ɡəˈraːdə,ˈsirge,ˈsuorɑ,stɹeɪt,,mɛtsʼwin
river,mdinärɛ,ˈjɤki,mältsʼqʼäri,fluːd,ɔrubä,flʊs,ˈjɤgi,ˈjoki,ˈɹɪvə,,tʃʼälæ
man,kʼätsi,ˈmiːsː,kʼɔtʃi,mɛnːɪɧa,kʼɔtʃi,mɛnʃ,ˈmeːs,ˈmies,mæn,,märɛ
animal,tsχɔvɛli,ˈelːæi,tsχɔvɛli,jʉːr,häjväni,tiːɐ̯,ˈloːm,ˈelæin,ˈænɪməl,dyːr,tsχɔwɛl
neck,kʼisɛri,ˈkːɑːl,kʼisɛri,,dʒinikʰi,hals,ˈkɑel,ˈkɑulɑ,nɛk,hals,kʼintʃχ
there,ikʰ,ˈsːæːl,tʰɛkʰ,dɛːr,ɛkʰ,dɔrt,ˈseɑl,ˈtuolːɑ,ðɛə(ɹ),dar,ɛtʃɛtʃu
turn,tʼriäli,ˈkːæːntmæ,rtʰäpʰä,,ɔkʰtʰu,ˈdʁeːən,ˈpøːrɑmɑ,ˈkæːntyæ,tɜːn,drajə,lisipʼ
road,gzä,ˈtːiː,ʃärä,vɛːɡ,gzä,ˈʃtraːsə,ˈteː,ˈtie,ɹəʊd,,ʃukʼw
good,kʼärgi,ˈhæː,dʒgiri,ɡuːd,kʼäi,ɡuːt,ˈheɑ,ˈhyʋæ,ɡʊd,ɡoð,χɔtʃä
breast,mkʼɛrdi,ˈrɤnt,kʼidiri,,gjɔnkʰsi,bʁʊst,ˈrind,ˈrintɑ,bɹɛst,brøst,mutʃʼwɛd
day,dʁɛ,ˈpːæiv,dʁä,,dʁä,tɑːk,ˈpæeʋ,ˈpæiʋæ,deɪ,døjn,lädɛʁ
cold,tsivi,ˈkːylm,ʔini,kal,qʼini,kalt,ˈkylm,ˈkylmæ,kəʊld,kɔl,mətsχi
small,pʼätʼärä,ˈvæikːu,tʃʼitʃʼɛ,ˈliːˌtɛn,tʃʼutʼä,klaɪ̯n,ˈʋæike,ˈpieni,smɔːl,lilə,χɔχrä
die,sikʼvdili,ˈkːuːlmɑ,ʁurä,,ʁurä,ˈʃtɛʁbən,ˈsuremɑ,ˈkuolːɑ,daɪ,dø,dägrä
