,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 ca, ˈʒɔ, ˈtu, ˈeʎ, noˈzal.tɾəs, ˈtu, ˈeʎs, əˈkəst, əˈkəʃ, əˈki, əˈʎa, ˈki, ˈkə, ˈon, ˈkwan, ˈkɔm, ˈno, ˈtot, ˈmolt, , ˈpɔk, , ˈun, ˈdos, ˈtɾəs, ˈkwa.tɾə, ˈsiŋk, ˈɡɾan, ʎuˈɲa, , , , pəˈtit, ˈkuɾt, əsˈtɾət, , ˈdɔ.nə, ˈɔ.mə, uˈma, ˈnən, ˈdɔ.nə, məˈɾit, ˈma.ɾə, ˈpa.ɾə, ə.niˈmal, ˈpeʃ, ˈaw, ˈɡos, ˈpoʎ, ˈseɾp, ˈkuk, ˈa.bɾə, ˈbɔsk, , , ʎəˈvo, ˈfu.ʎə, əˈrɛl, əsˈkɔɾ.sə, ˈflɔ, ˈeɾ.bə, ˈkɔɾ.də, ˈpeʎ, ˈkaɾn, ˈsaŋk, ˈɔs, , ˈɔw, ˈba.ɲə, ˈku.ə, , kəˈbəʎ, ˈkap, oˈɾə.ʎə, ˈuʎ, ˈnas, ˈbo.kə, ˈdent, ˈʎəŋ.ɡwə, ˈuŋ.ɡlə, ˈpɛw, ˈka.mə, ʒəˈnoʎ, ˈma, ˈa.lə, ˈbuk, , ˈkɔʎ, əsˈkə.nə, ˈpit, ˈkɔr, ˈfe.d͡ʒə, ˈbəw.ɾə, məɲˈʒa, mo.səˈɡa, ʃuˈkla, , vo.miˈta, buˈfa, rəs.piˈɾa, ˈriw.ɾə, ˈvəw.ɾə, sənˈti, səˈbə, pənˈsa, oˈlo, ˈpo, duɾˈmi, ˈviw.ɾə, muˈɾi, məˈta, ʎujˈta, kəˈsa, kol.pəˈʒa, təˈʎa, pəɾˈti, ə.pu.ɲəˈla, , kəˈva, nəˈda, ˈmos.kə, kə.miˈna, vəˈni, mənˈti.də, ˈsɛw.ɾə, , ʒiˈɾa, ˈkaw.ɾə, doˈna, ə.ɡwənˈta, əsˈpɾe.mə, fɾəˈɡa, rənˈta, ə.ʃuˈɡa, tiˈɾa, əmˈpə.ɲə, ʎənˈsa, , kuˈzi, komˈta, ˈdi, kənˈta, ʒuˈɡa, floˈta, fluˈi, , imˈflaɾ.sə, ˈsɔl, ˈʎu.nə, əsˈtɾə.ʎə, ˈaj.ɡwə, ˈplu.ʒə, ˈriw, ˈʎak, ˈmar, ˈsal, ˈpe.dɾə, ˈso.rə, ˈpols, ˈtɛ.rə, , ˈbɔj.ɾə, ˈsɛl, , ˈnew, ˈʒɛl, ˈfum, ˈfɔk, , , kə.rəˈte.ɾə, , ˈrɔt͡ʃ, ˈvɛɾt, ˈɡɾɔk, ˈblaŋk, ˈnə.ɡɾə, ˈnit, ˈdi.ə, ˈaɲ, kəˈlent, ˈfɾət, ˈplə, ˈnɔw, ˈveʎ, ˈbɔ, doˈlent, , ˈbɾut, , roˈdo, əz.moˈlat, , , ˈmɔʎ, əˈʃut, koˈrɛk.tə, , ʎuˈɲa, ˈdɾət, əsˈkɛ.rə, a, ən, əmb, ˈi, ˈsi, pəɾˈkə, ˈnɔm
 ce, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , kuə.rtə, , , , , , mʷɔt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈlɑŋet, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 co, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈkabu, , , , , , , , , ˈãka, djiˈnɔtju, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 cr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 cs, jaː, tɪ, on, mɪ, tɪ, ˈoɲɪ, ˈtɛnto, ˈtamtɛn, ˈtoto, tam, ɡdo, t͡so, ɡdɛ, ɡdɪ, jak, nɛ, ˈfʃɪxɲɪ, ˈmnoɦo, ˈɲɛkolɪk, ˈmaːlo, ˈdruɦiː, ˈjɛdɛn, dva, tr̝ɪ, ˈt͡ʃtɪr̝ɪ, ˈpjɛt, , ˈdlou̯ɦiː, ˈʃɪrokiː, ˈtlustiː, ˈcɛʃkiː, ˈmaliː, ˈkraːtkiː, ˈuːskiː, ˈtɛŋkiː, ˈʒɛna, ˈt͡ʃlovjɛk, ˈlɪtskiː, ˈɟiːcɛ, ˈmanʒɛlka, ˈmanʒɛl, ˈmatka, ˈotɛt͡s, ˈʒɪvot͡ʃɪx, ˈrɪba, ptaːk, pɛs, ˈvɛʃ, ɦat, ˈt͡ʃɛrf, strom, lɛs, ɦuːl, ˈovot͡sɛ, ˈsɛmɛno, ˈlɪst, ˈkor̝ɛn, ˈkuːra, ˈkvjɛt, ˈtraːva, , ˈkuːʒɛ, ˈmaso, krɛv, kost, , ˈvɛjt͡sɛ, ˈrox, ɔtsas, ˈpɛːro, ˈvlasɪ, ˈɦlava, ˈuxo, ˈoko, nos, ˈuːsta, zup, ˈjazɪk, , ˈnoɦa, ˈnoɦa, ˈkolɛno, ˈruka, kr̝̊iːdlo, ˈbr̝ɪxo, , kr̩k, ˈzaːda, pr̩s, ˈsr̩t͡sɛ, ˈjaːtra, piːt, jiːst, ˈkou̯sat, , ˈplɪvnou̯t, , ˈvaːt, ˈdiːxat, smaːt, ˈvɪɟɛt, ˈslɪʃɛt, ˈvjɛɟɛt, ˈpr̝̊ɛmiːʃlɛt, ˈvuːɲɛ, ˈstrax, spaːt, ʒiːt, ˈumr̝iːt, ˈzabiːt, ˈbojovat, ˈlovɪt, , ˈr̝ɛzat, , , , ˈkopat, ˈplavat, ˈmou̯xa, jiːt, ˈpr̝̊ɪxaːzɛt, lɛʃ, ˈsɛɟɛt, staːt, ˈtot͡ʃɪt, ˈpadat, ˈdaːvat, dr̩ʒɛt, , tr̝̊iːt, miːt, ˈuciːrat, ˈtaːɦnou̯t, ˈtlat͡ʃɪt, , ˈpr̝̊ɪvaːzat, , ˈpot͡ʃiːtat, r̝iːt͡st, ˈspiːvat, ɦraːt, ˈplavat, tɛːt͡st, ˈzmr̩zˌnɔʊ̯t, , ˈslunt͡sɛ, ˈmjɛsiːt͡s, ˈɦvjɛzda, ˈvoda, ˈdɛːʃc, ˈr̝ɛka, ˈjɛzɛro, mor̝ɛ, suːl, ˈkaːmɛn, ˈpiːsɛk, , ˈzɛmjɛ, mrak, mɫ̩ɦa, ˈnɛbɛ, ˈviːtr̩, sɲiːx, lɛt, diːm, ˈoɦɛɲ, ˈpopɛl, ˈɦor̝ɛt, ˈt͡sɛsta, ˈɦora, ˈt͡ʃɛrvɛniː, ˈzɛlɛniː, ˈʒlutiː, ˈbiːliː, ˈt͡ʃɛrniː, not͡s, dɛn, rok, ˈtɛpliː, ˈstudɛniː, pl̩niː, ˈnoviː, ˈstariː, ˈdobriː, ˈʃpatniː, ˈzɦɲɪliː, ˈʃpɪnaviː, ˈpr̝̊iːmiː, ˈkulatiː, ˈostriː, ˈtʊpiː, ˈɦlatkiː, ˈmokriː, ˈsuxiː, ˈspraːvniː, ˈbliːskiː, ˈdalɛkiː, ˈpraːvo, ˈlɛviː, u, v, s, a, ˈjɛstlɪʒɛ, ˈprotoʒɛ, ˈjmɛːno
 cu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 cv, , , , eˈbir, , , , , , , , , , , , , , , , , , pʲɘˈrʲːe, ˈikʲːɘ, , , ˈpʲilʲːɘkʲ, , , , , , , , , , , , , aˈdʑa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , t͡ɕul, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , taˈda, , , 
 cy, miː, tiː, eːv, niː, tiː, huːɨ̯, hʊn, ˈhʊnʊ, , ˈəna, puːɨ̯, beːθ, , prɨːd, sɨ̞t, dɪm, ɪˈɡɨːd, , , əˈχədɨ̞ɡ, ˈaraɬ, ɨːn, daɨ̯, triː, ˈpɛdwar, pɨ̞mp, , hiːr, ˈɬədan, teːu̯, trʊm, baːχ, bɨ̞r, kɨːl, ˈtɛnaɨ̯, , dɨːn, , ˈplɛntɨ̞n, ɡuˈrai̯ɡ, ɡuːr, mam, taːd, aˈnɪvai̯l, pəsˈɡɔdɨ̯n, aˈdɛrɨ̞n, kiː, ˈɬeɨ̯ɛn, nei̯dr, , ˈkɔɨ̯dɛn, ˈkɔɨ̯dwɪɡ, , fruːɨ̯θ, haːd, ˈdei̯lɛn, ɡwrai̯ð, ˈr̥ɪskl̩, ˈblɔdɨ̞n, ˈɡlaswɛɬd, r̥aːf, kroːɨ̯n, kiːɡ, ˈɡwaːi̯d, , ˈbrastɛr, uːɨ̯, kɔrn, ˈkənfɔn, plɨː, ɡwaːɬd, pɛn, klɨːst, ˈɬəɡad, truːɨ̯n, keːɡ, dant, ˈtavɔd, , troːɨ̯d, koːɨ̯s, , ɬaːu̯, ˈadai̯n, , , ɡʊðv, , brɔn, ˈkalɔn, ˈavɨ̞, ˈəvɛd, , knɔj, , , , ˈχwəθɨ̞, anˈadlɨ̞, , ɡwɛld, ˈkləu̯ɛd, ˈmɛdrɨ̞, ˈmɛðʊl, , , ˈkəsɡɨ̞, bɪu̯, , ɬaːð, , , ˈtarɔ, ˈtɔrɪ, , , , , ˈnɔvjɔ, , ˈkɛrðɛd, doːd, , ˈei̯sdɛð, ˈsɛvɨ̞ɬ, , ˈsərθjɔ, r̥ɔi̯, dal, , , ˈɡɔlχɪ, , , , ˈtavlɨ̞, , , , , ˈkanɨ̞, ˈχwaraɨ̯, , , , , haɨ̯l, ˈɬeɨ̯ad, ˈsɛrɛn, duːr, ɡlau̯, ˈavɔn, ɬɨ̞n, moːr, ˈhalɛn, ˈkarɛɡ, , ɬuːχ, , ˈkʊmʊl, , ˈau̯ɨ̞r, , ˈei̯ra, jaː, muːɡ, taːn, ˈɬɨ̞dʊ, ˈɬɔsɡɪ, , ˈmənɨ̞ð, koːχ, ɡwɨ̞rð, ˈmɛlɨ̞n, ɡwɨ̞n, dɨː, noːs, dɨːð, , , oːɨ̯r, ɬau̯n, ˈnɛu̯ɨ̞ð, heːn, daː, druːɡ, , , , krʊn, , , , ɡwlɨːb, sɨːχ, ˈkəu̯ɪr, , pɛɬ, hau̯l, χwiːθ, ʊrθ, ən, a, , ɔs, ˈaχɔs, ˈɛnʊ
 da, jaj, du, han, , du, di, , dən, , dar, vɛm, vad, , vɔrnɔːr, , ekə, alə, manɡə, noən, fɔː, andrə, , toː, , fiːrə, , , lanɡ, , tyk, tɔnɡ, lilə, kɔrt, snɛvər, , ˈkʰvenə, , , barn, , mæn, , , dyːr, fesk, fuːl, hun, , , , trɛː, , kɛp, frɔɡt, sɛːd, blad, roːd, bark, , , tɔv, , , bloːd, knɔɡlə, fet, ɛːɡ, , haːlə, fjeːr, , hoːvəd, øːrə, øjə, ˈnɛːsə, mon, tan, tɔnɡə, najl, foːd, beːn, , hɔnˀ, , , , hals, , brøst, jɛrtə, leːvər, drekə, spiːsə, biːdə, , spøtɘ, , blɛːsə, ɔnə, leː, seː, høːrə, , , loɡt, , , leːvə, dø, , , ˈjaːɡə, slɔː, skɛːrə, , , , ɡraːvə, svœmə, fluːə, ɡɔː, kɔmə, løɡn, seðə, , drajə, , ɡiː, , , , , veskɘ, trɛkə, skɔbɘ, , benə, syː, , , sønɡə, lajə, , , , , soːl, , stjɛrnə, vand, ˈʁɑɪ̯ˀn, , søː, hav, salt, , san, støːv, joːr, , tɔːɡə, , ʋend, , iːs, røj, il, , , , bjɛrv, røːd, ɡrœn, ɡuːl, , soɐ̯d̥, nad̥, døjn, , , kɔl, fuld, nyː, ɡaməl, ɡoð, dɔːli, rɔdən, beskit, , , , sløːv, , vɔːd, tœːr, , nɛːr, , rɛt, , , , mɛd, ˈɒw, ves, , 
 de, ɪç, duː, ʔeːɐ̯, viːɐ̯, duː, ziː, ˈdiːzər, ˈjeːnɐ, hiːɐ, dɔrt, veːɐ̯, vas, voː, van, viː, nɪçt, al, ˈfiːlə, , ˈveːnɪç, ˈʔandəʀə, aɪ̯ns, t͡svaɪ̯, dʁaɪ̯, fiːɐ̯, fʏnf, ɡʁoːs, laŋ(k), bʀaɪ̯t, dɪk, ʃveːɐ̯, klaɪ̯n, kʊʁt͡s, ɛŋ, dʏn, fʁaʊ̯, mɛnʃ, mɛnʃlɪç, kɪnt, , , ˈmʊtɐ, ˈfaːtɐ, tiːɐ̯, fɪʃ, ˈfoːɡəl, hʊnt, laʊ̯s, ˈʃlaŋə, , baʊ̯m, valt, ʃtaːp, fʁʊxt, ˈzaːmən, blat, ˈvʊʁt͡sl̩, ˈbɔʁkə, ˈblyːtə, ɡʁaːs, zaɪ̯l, haʊt, flaɪ̯ʃ, bluːt, ˈknɔχn, fɛt, aɪ̯, hɔrn, ʃvant͡s, ˈfeːdəʁ, haːɐ̯, kɔpf, oːr, ˈaʊ̯ɡə, ˈnaːzə, mʊnt, t͡saːn, ˈtsʊŋə, ˈfɪŋɐnaːɡl̩, fuːs, baɪ̯n, kniː, hant, ˈflyːɡl̩, baʊ̯x, ˈaɪ̯nɡəvaɪ̯də, hals, ˈʁʏkn̩, bʁʊst, hɛʁts, ˈleːbɐ, ˈtʁɪŋkən, ˈʔɛsn̩, ˈbaɪ̯sn̩, ˈzaʊ̯ɡən, ˈʃpʊkŋ̩, ˌyːbɐˈɡeːbən, ˈblaːzn̩, ˈaːtmən, ˈlaχn̩, ˈzeː.ən, ˈhøːrən, ˈvɪsn̩, ˈdɛŋkən, ɡəˈʁʊχ, ʔaŋst, ˈʃlaːfn̩, ˈleːbən, ˈʃtɛʁbən, ˈtøːtən, kɛm(p)fən, ˈjaːɡən, ˈʃlaːɡən, , ˈʃpaltn̩, ˈʃtɛçn̩, ˈkʀat͡sn̩, ˈɡʁaːbən, ˈʃvɪmən, ˈfliːɡə, ˈlaʊ̯fən, ˈkɔmən, ˈlyːɡə, ˈzɪtsn̩, ˈʃteː.ən, ˈdʁeːən, ˈfaln̩, ˈɡeːbən, ˈhaltn̩, ˈdʁʏkŋ̩, ˈʀaɪ̯bnˌ, ˈvaʃən, ˈvɪʃn̩, ˈtsiːən, ˈdʁʏkŋ̩, ˈvɛʁfən, ˈbɪndn̩, ˈnɛːən, ˈt͡sɛːlən, zaːɡən, ˈzɪŋən, ˈʃpiːlən, ˈtʀaɪ̯bm̩, ˈfliːsn̩, ɡəˈfʁiːʁən, ˈʃvɛlən, ˈzɔnə, moːnt, ʃtɛʁn, ˈva.sɐ, ˈʁeːɡən, flʊs, zeː, meːɐ̯, zal(t)s, ʃtaɪn, zant, ʃtaʊ̯p, ˈeːɐ̯də, ˈvɔlkə, ˈneːbl̩, ˈhɪml̩, vɪnt, ʃneː, aɪ̯s, ʁaʊ̯x, ˈfɔʏər, ˈaʃə, ˈbʀɛnən, ˈʃtraːsə, bɛrk, roːt, ɡʁyːn, ɡɛlp, vaɪs, ʃvarts, naxt, tɑːk, jaː(ɐ̯), vaʁm, kalt, fɔl, nɔʏ̯, alt, ɡuːt, ʃlɛçt, faʊ̯l, ˈʃmʊt͡sɪç, ɡəˈraːdə, ʀʊnt, ʃarf, ʃtʊm(p)f, ɡlat, nas, ˈtʁɔkən, kɔˈʁɛkt, naː, fɛʁn, ʁɛçt, lɪŋk, an, ʔɪn, mɪt, ʊnt, vɛn, vaɪ̯l, ˈnaːmə
 dv, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 dz, ŋɑ˩, , kʰo˥, , , kʰoŋ˥, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , mik̚˥.to˥, , kʰɑ˥, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , t͡ɕʰu˥, t͡ɕʰɑːp˥, , , , , , , , , , , , , , , , , , , , , , , , , nɑp˥, , , , , , , , , , , , , , , , , , , , , , , , , , , , tʰɑ˩, , , 
 ee, ˈɲɛ, , ˈɛjæ, ,  wo , , , , , , , , , , , , blɪbəʊ, , , , , , , , , , , , , , , suːɛ, , , , ˈɲɒ.nʊ, , , viː, , , , , , , , , , , , , , , ˈkʊˌtʃɛˌtʃɛ, , , , , , , , , , , , , , , , , dæ, , , , , , , , , , , , əsɪ, , , , , ˈdʒɪmɛ, no, , , , , , ˈɲɪ, , , , , , k͡pɒ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ˈdʒɛ̃, , , , ˈjɪbɒ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 el, eˈɣo, , aˈftos, e̞ˈmis, e̞ˈsi, , aˈftos, , , e̞ˈci, , , , ˈpote, ˈpos, ðe̞, , , , ˈliɣos, , ˈe̞na, ˈðiˌo̞, ˈtri.a, ˈte̞se̞ˌra, ˈpe̞(n)de̞, , , , , , miˈkro̞s, , , , ʝiˈne̞ka, ˈanθɾɔpɔs, , peˈði, , , miˈtera, paˈteras, ˈzo.o, ˈp͡sari, puˈli, ˈscilos, , ˈfiði, sku.ˈli.ci, ˈðe̞n.dro̞, ˈðasɔs, , , ˈspo̞ro̞s, ˈfilo̞, , , ˈanθɔs, , , ˈðɛɾma, ˈkre̞as, ˈema, o̞ˈsto̞, ˈli.pos, ta.oˈa, , , , , ce̞ˈfali, aˈfti, ˈmati, ˈmiti, , ˈðɔndi, ˈɣlosa, ˈniçi, ˈpoði, ˈpoði, ˈɣɔnatɔ, ˈçeɾi, , , , , , ˈstiθos, karˈðʝa, , ˈpi.no, ˈtro̞o̞, ðaŋˈɡono, , ˈfti.nɔ, , , a.naˈpne.o, , ˈvlepo, aˈkuo, ˈksɛ.ɾɔ, ˈsceftome, miɾoˈðʝa, , ciˈmame, ˈzo, peˈθeno, skoˈtono, , , , , , , ˈksino, , , ˈmiɣa, , ˈeɾxome, , ˈkaθome, ˈstekome, , , , , , triˈvo, , , , , , , , , , , , , ˈre.o, , ˈpɾizome, ˈi.ʎos, , , neˈro, vɾoˈçi, , , ˈθalasa, aˈlati, , , , , ˈsinɛfɔ, , , , , ˈpaɣos, kaˈpno̞s, foˈtça, , , ˈðromos, ˈo̞ro̞s, ˈkocinos, ˈpɾasinos, , ˈaspro̞s, ˈmavros, ˈnixta, , ˈxɾonos, ze̞ˈsto̞s, , ˈpliris, ˈne̞o̞s, , kaˈlos, kaˈkos, ˈsapços, , , , kofteˈros, , , , , so̞ˈsto̞s, , makriˈa, ðiˈceoma, , ˈston, en, me̞, ce̞, , , ˈo̞no̞ˌma
 en, aɪ, ðaʊ, ˈhiː, wiː, juː, ðeɪ, ðɪs, ˈðæt, hɪə(ɹ), ðɛə(ɹ), hw, wɔt, ʍɛə(ɹ), ʍɛn, haʊ, nɒt, ɔːl, ˈmɛni, sʌm, fjuː, ˈʌðə(ɹ), wʌn, tuː, θɹiː, fɔː, faɪv, bɪɡ, ˈlɒŋ, waɪd, θɪk, ˈhɛ.vi, smɔːl, ʃɔːt, ˈnæɹoʊ, ˈθɪn, ʊ, mæn, ˈ(h)juːmən, t͡ʃaɪld, waɪf, ˈhʌzbənd, ˈmʌðə(ɹ), ˈfɑː.ðə(ɹ), ˈænɪməl, ˈfɪʃ, bɜːd, dɒɡ, laʊs, ˈsneɪk, wɜːm, tɹiː, ˈfɒɹɪst, stɪk, fɹuːt, siːd, liːf, ɹuːt, bɑːk, ˈflaʊ.ə, ɡɹɑːs, ɹəʊp, skɪn, miːt, blʌd, boʊn, fæt, ɛɡ, hɔːn, teɪl, ˈfɛð.ə(ɹ), hɛə, hɛd, ɪə̯, aɪ, nəʊz, maʊθ, tuːθ, tʌŋ, ˈfɪŋɡɚˌneɪl, fʊt, lɛɡ, niː, hænd, wɪŋ, bɛli, ɡʌts, nɛk, bæk, bɹɛst, hɑːt, lɪvə(ɹ), dɹɪŋk, iːt, baɪt, sʌk, spɪt, ˈvɒmɪt, bləʊ, bɹiːð, laːf, siː, hɪə(ɹ), nəʊ, θɪŋk, smɛl, fɪə, sliːp, lɪv, daɪ, kɪl, faɪt, hʌnt, hɪt, kʌt, splɪt, stæb, skɹætʃ, dɪɡ, swɪm, flaɪ, wɔːk, kʌm, laɪ̯, sɪt, stænd, tɜːn, fɔːl, ɡɪv, həʊld, skwiːz, ɹʌb, wɒʃ, waɪp, pʊl, pʊʃ, θɹəʊ, taɪ, səʊ, kaʊnt, seɪ, sɪŋ, pleɪ, fləʊt, fləʊ, ˈfɹiːz, swɛl, sʌn, muːn, stɑː(ɹ), ˈwɔːtə, ɹeɪn, ˈɹɪvə, leɪk, siː, sɔːlt, stəʊn, sænd, dʌst, ɜːθ, klaʊd, fɒɡ, skaɪ, ˈwɪnd, snəʊ, aɪs, sməʊk, ˈfaɪ.ə(ɹ), ˈæʃ, bɝn, ɹəʊd, ˈmaʊntɪn, ɹɛd, ɡɹiːn, ˈjɛl.əʊ, waɪt, blæk, naɪt, deɪ, jɪə, wɔːm, kəʊld, fʊl, njuː, ˈəʊld, ɡʊd, bæd, ˈɹɑtn̩, ˈdɜːti, stɹeɪt, ˈɹaʊnd, ʃɑːp, dʌl, smuːð, wɛt, dɹaɪ, kəˈɹɛkt, nɪə(ɹ), fɑː, ˈɹaɪt, lɛft, æt, ɪn, wɪð, ænd, ɪf, bɪˈkɒz, neɪm
 eo, mi, t͡si, li, ni, t͡si, ˈili, , ˈtiu, ˈtie, ˈtie, , ˈkio, , , , ne, , , , , aˈlia, ˈunu, du, tri, kvar, kvin, , ˈlonɡa, ˈlard͡ʒa, , ˈpeza, malˈɡranda, malˈlonɡa, ˈstreta, , viˈrino, ˈhomo, , inˈfano, edzˈino, ˈed.zo, paˈtrino, ˈpatro, aniˈmalo, ˈfiʃo, ˈbirdo, ˈhundo, , serˈpento, ˈvermo, ˈarbo, arˈbaro, , ˈfrukto, , fo.ˈli.o, raˈdiko, arboˈʃelo, ˈfloro, ˈherbo, ˈʃnuro, ˈhaw.to, viˈando, ˈsanɡo, ˈosto, ˈɡraso, ˈovo, , ˈvosto, ˈplumo, ˈharo, ˈkapo, oˈrelo, oˈkulo, ˈnazo, ˈbuʃo, ˈdento, ˈlanɡo, , piˈedo, ˈkruro, , ˈmano, fluɡˈilo, ˈventro, , ˈkolo, ˈdorso, ˈmamo, ˈkoro, heˈpato, ˈtrinki, , ˈmordi, ˈsutʃi, , ˈvomi, ˈblovi, ˈspiri, , ˈvidi, ˈau̯di, ˈst͡sii, , oˈdoro, ˈtimo, ˈdormi, ˈvivi, , mortˈiɡi, baˈtali, , ˈfrapi, ˈtrant͡ʃi, , , ˈɡrati, ˈfosi, ˈnad͡ʒi, ˈmuʃo, proˈmeni, ˈveni, menˈsoɡo, ˈsidi, ˈstari, , ˈfali, ˈdoni, , , ˈfroti, ˈlavi, ˈviʃi, ˈtiri, ˈpuʃi, , , , kalˈkuli, ˈdiri, ˈkanti, ˈludi, , ˈflui, , ˈʃveli, , ˈluno, ˈstelo, ˈakvo, ˈpluvo, , ˈlaɡo, ˈmaro, ˈsalo, ˈʃtono, ˈsablo, ˈpolvo, , ˈnubo, neˈbulo, t͡ʃiˈelo, ˈvento, ˈnedʒo, ɡlaˈt͡sio, ˈfumo, ˈfai̯ro, ˈtsindro, ˈbruli, , ˈmonto, ˈru.d͡ʒa, ˈverda, ˈflava, ˈblanka, ˈni.ɡra, ˈnokto, ˈtaɡo, ˈjaro, ˈvarma, malˈvarma, ˈplena, ˈno.va, malˈnova, , malˈbona, ˈputra, , ˈrekta, ˈtsirkla, ˈakra, , ˈɡlata, malˈseka, ˈseka, ˈd͡ʒusta, prokˈsima, ˈfora, ˈrajto, , tʃe, en, kun, kaj, , t͡ʃar, ˈnomo
