word,xmf,ka,lzz,sva
smoke,kʼumä,bɔli,kʼɔmä,zinqʰ
heavy,mɔnkʼä,mdzimɛ,mɔnkʼä,gwæmi
woman,ɔsuri,kʰäli,ɔχɔrdʒä,zuräl
he,tʰinä,is,ɛjä,ɛdʒi
belly,kʰɔrä,mutsɛli,kʰɔrbä,qʰæd
live,rinä,tsχɔvrɛbä,skʰidälä,lidrɛ
swim,ntʃuruä,tsurvä,ɔntʃviru,likʰni
walk,gilulä,siäruli,gɔlvä,lizɛläl
bad,gläχä,tsudi,pʼätʼi,χɔlä
wide,pʰärtʰɛ,pʰärtʰɔ,mbɔli,mäʃri
straight,tʰini,stsʼɔri,duzi,mɛtsʼwin
hand,χɛ,χɛli,χɛ,ʃi
throw,ʔɔtʰämä,srɔlä,ɔstʰɔmilu,likʼwänɛ
lake,tʼɔbä,tʼbä,tʼɔbä,tʼɔb
one,ärtʰi,ɛrtʰi,är,ɛʃχu
mother,didä,dɛdä,nänä,di
horn,kʰä,rkʰä,kʰrä,mitʃʼw
fear,ʃkʰurini,ʃiʃi,ʃkʼurinä,mäqʼäl
night,sɛri,ʁämɛ,sɛri,lɛtʰ
wing,suä,pʰrtʰä,msvä,kʼäbərdʒ
dull,dʒärguliä,blägvi,dʒängulä,luwrɛ
heart,guri,guli,guri,gwi
they,tʰinɛpʰi,isini,ɛntʰɛpʰɛ,ɛdʒær
sing,birä,mʁɛrä,ɔbiru,liʁräl
tooth,kʼibiri,kʼbili,kʼibiri,ʃdikʰ
sleep,luri,dzili,ndʒiri,uʒ
count,kʼɔrɔtsχuä,tʰvlä,ɔkʼɔrɔtsχu,liʃɛldɛ
freeze,ʔinuä,gäqʼinvä,ɔqʼinu,likʼwrɛmi
road,ʃärä,gzä,gzä,ʃukʼw
white,tʃɛ,tʰɛtʰri,χtʃɛ,tʰɛtʰnɛ
child,bäʁänä,bävʃvi,bɛrɛ,bɛpʰʃw
