word,uk,et,lt,vot,bo,ba,vro,tl,hi,te,km,sk,mjt,fy,gv,kfe,gdb,as,xmf,ru,gd,bfq,mt,da,kfa,ml,lo,ta,cs,ku,kru,la,ca,bn,ko,xub,ro,th,krl,brh,mk,sv,ug,vi,vep,be,tcx,zu,yi,kxv,nn,en,az,fr,kff,kn,el,ps,nl,hu,he,pt,it,fa,yea,tcy,fo,ka,mn,ny,oc,sl,bg,se,fi,pci,id,tg,lv,cy,lb,ga,br,sq,hy,pl,sva,my,liv,de,ms,ja,gl,sa,za,gon,ar,is,tr,af,lzz,kfb,ur,es
fire,wɔˈɦɔnʲ,ˈtuli,ʊɡˈnʲɪs,ˈtuːli,*me,ut,ˈtːuli,,ɑːɡ,nippu,b̥ʰloeṅ,ˈɔɦɛɲ,tʃitʃadu,fjuə̯r,,nippu,tukud,zui,dätʃχiri,ɐˈɡonʲ,ˈtʰʲenə,kitʃtʃə,,il,titta,te:,fai˦˥,neruppu,ˈoɦɛɲ,,tʃitʃtʃ,ˈiɡ.nis,ˈfɔk,,puɭ,tissə,fok,faj˧,ˈtuli,xa:xaɾ,,ˈɛld,,lɨə˧˩,ˈlæmoi,aˈɣonʲ,ti:ttə,uḿ̩liːlo,,dankeɾe,ɛld,ˈfaɪ.ə(ɹ),,fø,kis,benki,foˈtça,or,vyr,ˈtyːz,,ˈfo.ɣu,ˈfwɔko,,ti:,tuʋu,,tsɛtsχli,ɢaɮ,ˈmó.to,,ɔ̀ːɡənʲ,ˈɔɡən,ˈtolla,ˈtuli,kic,a.pi,,uɡuns,taːn,ˈfai̯(e)ʀ,ˈtʲɪnʲə,ˈtɑ̃ːn,zjaɾm,kəˈɾɑk,ˈɔ.ɡʲɛɲ,lɛmɛsg,mí,ˈt̪uʎ,ˈfɔʏər,api,⟨hi2⟩,ˈlu.mɪ,ɐɡ.n̪í,fei˧˩,taɖmi,naːr,ˈɛltʏr,ɑ̟ˈt̪ɛʃ,fyːr,dätʃχuri,kiss,,ˈfweɡo
four,t͡ʃoˈtɪrɪ̞,ˈneli,kʲɛt̪ʊˈrʲɪ,ˈnelːæ,*bʑi,dʏrt,ˈneli,ˈa.pat,,,puan,ˈʃtiri,,,kʲeːə(r),,,sa.ɹi,ɔtʰχi,t͡ɕɪˈtɨrʲe,,,,fiːrə,,,siː˧˧,,ˈt͡ʃtɪr̝ɪ,,,ˈkʷat.tu.or,ˈkwa.tɾə,,ne̞ːt̚,,ˈpa.tru,siː˨˩,ˈnelʲːæ,,,ˈfyːˌra,tøt,ʔɓon˧˦,ˈnelʲː,t͡ʂaˈtɨrɨ,,,fiʀ,,,fɔː,dœɾd,katʁ,,,ˈte̞se̞ˌra,t͡sa.lor,vir,ˈneːɟ,,ˈkwa.tɾu,ˈkwat.tro,tʃæˈhɒːɾ,,,ˈfʊiːɹa,ɔtʰχi,torəw,,ˈkatre,ˈʃtìːrjɛ,,ˈɲe̯aʎːʎe,ˈneljæ,,əm.pat,,tsætri,ˈpɛdwar,ˈfɜɪ̯ɐ,ˈcahəɾʲ,,ˈkatəɾ,t͡ʃʰɔɾs,ˈt͡ʂtɛ.rɨ,wɔʃtʰχw,lé,ˈne̞ːʎɑ,fiːɐ̯,əmpat,jo̞,,t͡ɕɐ́.t̪uɽ,θei˧˥,,ʔar.ba.ʕa,ˈfjouːrir,dœɾt,,ɔtʰχɔ,,,ˈkwatɾo
bad,,ˈhɑlb,ˈbloːɡɐs,ˈpɑhɑ,,nɑ.ˈsɑr,ˈhɑlv,,,,ʾāk̥rk´,ˈzɫiː,,,,,,bɛa,gläχä,plɐˈxoj,ˈt̪ɔnə,,ħɐˈziːn,dɔːli,,,,,ˈʃpatniː,,,ˈma.lus,doˈlent,kʰaɾap,na̠p͈ɯda̠,,rəw,leːw˧,ˈhuono,,,ˈdoː.lɪ(ɡ),,səw˧˦,ˈhond,ˈdrenːɨ,,,,,,bæd,pis,mo.vɛ,,,kaˈkos,bəd,slɛxt,ˈrosː,,ʁuˈĩ,kaˈtːiːvo,bæd,,,ˈɪtlʊɹ,tsudi,mõː,,,ˈsláp,,,ˈpɑhɑ,,bu.ruʔ,,,druːɡ,,ˈd̪ˠʊnˠə,,,vɑt,zwɨ,χɔlä,sʰó,ˈæbjɨvɑː,ʃlɛçt,,ɰᵝa̠ɾɯ̟ᵝi,,,,,saj.jiʔ,ˈvɔntʏr,,,pʼätʼi,,,ˈmalo
wide,ʃeˈrɔkei̯,ˈlɑi,,ˈlɑdʲdʲɑ,,ˈkʲiŋ,ˈlɑkʲɑ,ma.ˈla.pad,t͡ʃɔː.ɽɑː,,l̥h,,,,,,,bɔ.ɦɔl,pʰärtʰɛ,ʂɨˈrokʲɪj,,,,,,,kwaːŋ˥˧,,ˈʃɪrokiː,,,ˈlaː.tus,,,nʌ̹ɭt͈a̠,,larɡ,kwaːŋ˥˩.jaj˨˩,ˈlevei,,,viːd,,zəwŋ͡m˧˨ʔ,ˈleved,ʂɨˈrokʲi,,,,,,waɪd,,laʁʒ,,,,,,ˈseːlɛʃ,,ˈlaɾ.ɡu,ˈlarɡo,,,,ˈpɹaijʊɹ,pʰärtʰɔ,ɵrɡəŋ,,,,ʃiˈrɔk,,ˈleʋeæ,,,,plats,ˈɬədan,bʀeːt,ˈl̠ʲahənˠ,,ˈɟ͡ʝɛ.ɾə,lɑjn,ʂɛˈrɔ.kʲi,mäʃri,t͡ɕɛ̀,ˈlɑigɑː,bʀaɪ̯t,,,,,,,waː.siʕ,ˈpreiːðʏr,vaːˈsiː,,mbɔli,,,ˈaɲ.tʃo
new,,ˈuːs,,ˈuːsi,*ksar.pa,jɑ.ˈŋɯ̞,ˈvɑhtːsːɤnɤ,,nə.jɑː,kotta,t̥ʰmī,ˈnɔviː,pu:na,nɛi̯,,pudijadə,nia,,äχäli,ˈnovɨj,uːɾ,ostə,dʒdiːt,nyː,pudija,pudija,mai˧˧,pudusə,ˈnoviː,ˈnuː,pu:na,ˈno.wus,ˈnɔw,nɔt̪un,sʰe̞ɾo̞p̚t͈a̠,pəjjmən,now,maj˨˩,ˈuːsi,pu:skun,,ny,,məːj˧˦,ˈuzʲ,,pudu:n,,,puni,,njuː,jeˈni,nu.vo,kottad,hosadu,ˈne̞o̞s,ˈnəwai,niu̯,ˈuːj,χaˈdaʃ,ˈno.vu,ˈnwɔ.vo,,pudijai,posatta,nʊt͡ʃːʊɹ,äχäli,ʃin,,,ˈnɔ́w,nɔf,ˈoðas,ˈuːsi,pun,,,jaûns,ˈnɛu̯ɨ̞ð,nɑɪ̯,n̪ˠuə,ˈne.ve,ɾi,nɔɾ,ˈnɔ.vɨ,mäχɛ,θɪʔ,ˈuːʒ,nɔʏ̯,baru,arataɕiki,ˈnɔ.βʊ,n̪ɐ.ʋɐ,mo˧˥,puna,d͡ʒa.diːd,niːr,,,äʁäni,kota,n̪əjaː,ˈnwebo
tooth,,ˈhɑmːɑs,,ˈɑmːɑz,*so,tɪ̞ʃ,ˈhɑmːɑsː,,d̪ɑ̃ːt̪,pannu,d̥ʰmeñ,ˈzup,pa:ldu,,,pal,pa:lkill,dãt,kʼibiri,zup,,hallə,ˈsɪnːɐ,tan,pallə,pallə,kʰɛːw˨˩,pallə,zup,,pall,dens,ˈdent,d̪ɑt̪,i,pallə,ˈdinte,fan˧,ˈhɑmːɑs,danda:n,,ˈtand,t͡ʃiʃ,zaŋ˧˧,ˈhɑmbɑz,,paɾse,îːzîːɲo,tsɔn,palu,tɑnː,tuːθ,diʃ,dɑ̃,palk,hallu,ˈðɔndi,ɣɑʂ,tɑnt,ˈfoɡ,,ˈdẽ.tɨ,ˈdɛnte,dændɒːn,pallu,ku:li,tʰɔnː,kʼbili,ʃud,ˈd͡zí.no,,ˈzóːp,zɤp,,ˈhɑmːɑs,pel,ɡi.ɡi,dændɔːn,zùops,dant,,ˈfʲiəkəlʲ,,,ɑˈtɑm,zɔmp,ʃdikʰ,θwá,ˈɑːmbɑz,t͡saːn,ɡiɡi,ha̠,,d̪ɐ́n̪.t̪ɐ,heːu˥,pal,san.na,tʰœnː,diʃ,,kʼibiri,palku,d̪ãt̪,ˈdjente
count,,ˈlugemɑ,,ˈlukɤɑ,,,ˈlukɤmɑ,,ɡɪn.nɑː,,rāp´,,,,,,,,kʼɔrɔtsχuä,ɕːɪˈtatʲ,,,,,,,,,ˈpot͡ʃiːtat,,,ˈnu.me.roː,komˈta,,ˈsʰe̞ːda̠,,,nap̚˦˥,ˈlɑskie,,ˈbrɔi,,,ʔɗem˧˦,ˈlɑʃkɑ,,,,,,,kaʊnt,sɑjˈmɑχ,kɔ̃.te,,,,,ˈtɛlə(n),ˈsaːmol,,kõ.ˈtaɾ,konˈtare,ʃomordæn,,,,tʰvlä,,,,,,ˈlohkah(t),ˈlɑskeɑ,,,ʃumurdæn,skàjtîːt,,ˈt͡siələn,ɾˠiːvˠ,,,,ˈlʲi.t͡ʂɨt͡ɕ,liʃɛldɛ,jè,ˈlugːɨ,ˈt͡sɛːlən,kirə,kazuapu,,,,,,ˈtʰɛlja,,tɛ̞ːl,ɔkʼɔrɔtsχu,,,konˈtaɾ
eye,ˈɔkɔ,ˈsilm,ɐˈkʲɪs,ˈsilmæ,*mik,kʏð,ˈsːilm,,ɑ̃ːkʰ,kannu,b̥ʰnaek,ˈɔkɔ,a:ndu,ɪə̯x,suːlʲ,kaɳɳə,kaɳul,sɔku,tʰɔli,ɡlas,s̪uːl,kaɳɳə,aˁːjn,øjə,kaɳɳə,kaɳɳə,taː˩˨,kaɳɳə,ˈoko,,kʰann,ˈo.ku.lus,ˈuʎ,tʃokʰ,nun,kaɳɳu,okʲ,taː˧,ˈsilmæ,xan,ˈɔkɔ,ˈøːˌɡa,køz,mat̚˧˦,ˈsilʲm,ˈvoka,kaɳ,îːsó,,kanu,²æʉɡə,aɪ,,œj,koɳɖ,kaɳɳə,ˈmati,st̪ərˈɡa,oːx,ˈsɛm,ˈajin,ˈo.ʎu,ˈɔk.kjo,tʃʰæʃm,kaɳɳə,kaɳɳu,ˈɛiːja,tʰväli,,ˈɗí.so,,ɔˈkóː,oˈkɔ,ˈt͡ʃalːpmiː,ˈsilmæ,kan,,tʃaʃm,ats,ˈɬəɡad,a,sˠuːlʲ,ˈla.ɡat,sɒj,ɑt͡ʃʰkʰ,ˈɔ.kɔ,tʰɛ,mjɛʔsḭ,ˈsiːlmɑ,ˈaʊ̯ɡə,matə,ma̠,ˈoʎʊ,,ta˨˦,kəɖə,ʕaj.ja.na,ˈøyːɣa,ɟøz,oəχ,tʰɔli,kan,ɑ̃ŋkʰ,ˈoxo
white,ˈbʲilei̯,ˈʋɑlge,ˈbaːltɐs,ˈvɑlkeɑ,*tkar.po,ɑq,ˈvɑlkɤ,ˈpúˈtɪ,səfed̪,vella,s,ˈbi̯ɛli,sada:,vit,,ʋellə,tukud,bɔ.ɡa,tʃɛ,ˈbʲelɨj,kʲaɫ̪,ʋeɭɭe,ˈɐbjɐt,,boltadə,ʋeɭuppə,,veɭɭə,ˈbiːliː,ˈspiː,paɳɖɾu,ˈal.bus,ˈblaŋk,ʃad̪a,çida̠,bəɭɭu,alb,kʰaːw˩˩˦,ˈvɑlgei,pi:un,,,ɑq,t͡ɕaŋ˧˦,ˈvɑuged,ˈbʲeɫɨ,pelti,m̩ɬôːpʰe,vajs,pandi,kʋiːt,waɪt,,blɑ̃,telup,biɭi,ˈaspro̞s,spin,ʋɪt,ˈfɛɦeːr,,ˈbɾɐ̃.ku,ˈbjaŋko,seˈfiːd̪,boltaji,boldu,ˈkvʊiːjtʊɹ,tʰɛtʰri,t͡sʰaɢaŋ,,,ˈbéːw,bʲal,ˈvie̯lːkah(t),ˈʋɑlkoinen,vil,,,bālts,ɡwɨ̞n,væːɪ̯s,bˠɑːn̪ˠ,,baːɾð,əspiˈtɑk,ˈbʲa.wɨ,tʰɛtʰnɛ,pʰjù,ˈvɑːld̪ɑ,vaɪs,puteh,⟨siro1si⟩,ˈbɾaŋkʊ,ɕʋɐj.t̪ɐ́,haːu˨˦,tellag,ʔab.jadˁ,ˈxʷiːtʏr,ɑk,vət,χtʃɛ,telluɖi,,ˈblanko
rub,ˈtɛrte,ˈhɤːrumɑ,,ˈɤːrtɑː,,,ˈhɤːrtmɑ,,rəɡəɽna,,,,,,,,,ɡʱɔɦa,tʃirkʰɔli,tʲɪˈrʲetʲ,,,ˈɔˁːrɔk,,,,,,tr̝̊iːt,,,ˈfri.koː,fɾəˈɡa,,pibida̠,,freˈka,kʰat̚˨˩,ˈhieruo,,,,,tʰwaː˧˧,ˈhostæ,,,,,,,ɹʌb,,fʁɔ.te,,,triˈvo,,ˈvrɛi̯və(n),ˈdørʒøl,,ˌes.fɾe.ˈɡa(ɻ),strofiˈnare,mɒːliːˈd̪æn,,,,χäχuni,,,,,,,ˈhieroɑ,,,,,,ˈʀɑɪvən,ˈkɪmʲɪlʲ,,fəɾˈkɔj,,tʂɛt͡ɕ,liχdʒənɛ,pʊʔ,ˈɨːrɨ,ˈʀaɪ̯bnˌ,,,,,,,,,,,ɔkʰurtʃɔlu,,,
eat,,ˈsøːmɑ,,ˈsyvːæ,,,ˈsːɨːmæ,,,tinu,,,dʒa:go:lpah,,,tin atej,tin,,tʃʼkʼɔmuä,jesʲtʲ,,timbə,,spiːsə,tinə,tinnuga,kin˩˧ kʰau˨˩,sa:pədə,jiːst,ˈxwɑːɾɯn,mokʰna,,məɲˈʒa,,ɕʰiks͈a̠ɦa̠da̠,tinn,luˈa,kin˧.kʰaːw˥˩,ˈsyːvːæ,kuning,ˈjadɛ,ˈɛːˌta,,ʔan˧˧ kəːm˧˧,ˈsødɑ,,toɾtin,ɮá,,tinu,,iːt,jeˈmæk,mɑ̃.ʒe,tinnu,tinnu,ˈtro̞o̞,,,,,ko.ˈme(ʁ),manˈdʒa.re,,tinno:,uɳa:ɾa,,tʃʼämä,,,,,,,ˈsyødæ,tin,,,,,ˈie̯sen,ɪ,,,uˈtɛl,,lizwɛb,,ˈsiːe̞d̪ɨ,ˈʔɛsn̩,,,,,,dʒeʋi,,,,,ɔtʃʼkʼɔmu,a:ntisatun,,koˈmeɾ
swell,,ˈpɑisumɑ,,ˈpɑisːuɑ,,,ˈpːɑisːtːumɑ,,,,,,,,,,,pʰu.la,mbäruä,rəzdʊˈvat͡sːə,,,,,,,,,,,,in.tuˈmeːs.koː,imˈflaɾ.sə,,pupʰuɭda̠,,,bua̯m˧,ˈpɑisuo,,,,,sɨŋ˧˧,ˈpuhlotɑ,,,,,,,swɛl,,ɡɔ̃.fle,,,ˈpɾizome,,ˈzʋɛlə(n),ˈdɒɡɒd,,ĩ.ˈʃa(ɹ),,,,,ˈpœlna,ʃɛʃupʼɛbä,,,,,,,ˈpɑisuɑ,,,,,,,,,,uˈrɛl,ˈpux.nɔɲt͡ɕ,liʃiɛ,,ˈpɑist̪ɨ,ˈʃvɛlən,,,,,,,,,,,ɔbäru,,,
nose,,ˈninɑ,,ˈnenæ,*zna,tɑˈnɑw,ˈnɤnɑ,ʔi.ˈlɔŋ,naːk,mukku,c̥rmuḥ,,muso:,,st̪rudʲnʲ,mu:kə,mungan,nak,tʃχvindi,nos,s̪t̪ɾɔːn,mu:kə,,ˈnɛːsə,mu:kkə,mu:kə,daŋ˩˧,mu:kə,nos,,mu:ji,,ˈnas,,kʰo̞,mu:kkə,,t͡ɕa˨˩.muːk̚˨˩,ˈnenæ,ba:mus,,ˈnɛːsˌa,,muj˦ˀ˥,ˈnenɑ,,mittu:p,íːkʰaːla,,mungeli,,nəʊz,buˈrun,ne,mosso:ɾ,mu:gə,ˈmiti,,nøːs,ˈorː,ʔaf,nɐˈɾiʃ,ˈna.zo,,mu:kkə,mu:gu,nøːs,tsχviri,,ˈᵐpʰu.no,,ˈnóːs,nɔs,,ˈnenæ,muvãḍ,,biˈniː,,truːɨ̯n,nuəs,sˠɾˠoːnˠ,ˈfriː,,kʰitʰ,nɔs,nɛpʰχwnä,n̥əkʰáʊɴ,ˈnɑnɑː,ˈnaːzə,hidoŋ,,naˈɾiθ,,,mosoɾ,ʔanf,nɛːv,buˈɾun,nɪøs,tʃχindi,mu:kk,,naˈɾiθ
you,ˈtɪ,ˈteie,tʊ,ˈtyː,,hin,ˈtːiːʔ,iˈkaw,t̪uː,,lok,ˈti,,doː,u,,,,tʰkʰvä,tɨ,hu,,,du,,,tɕao˥˦,,tɪ,tʊ,,tuː,ˈtu,ˈθʊiː,ta̠ŋɕʰin,,tu,kʰun˧,ˈtyø,,ti,dʉː,,ʔɓaːn˧˨ʔ,ˈtiː,,,weːná,,,dʉː,juː,sæn,ty,,,e̞ˈsi,ˈtɑse,jɛi̯,ˈtɛ,(ʔ)aˈta,tu,t̪u,to,,,tʰʉuː(w),tʰkʰvɛn,,ˈi.we,ty,ˈtíː,ti,,ˈte,,,t̪u,tu,tiː,du,t̪ˠuː,,ti,du,tɨ,sgæ,nɪ̀ɴ,ˈt̪e̞ːg,duː,kamu,kipau,,,mɯŋ˧˩,,ʔanta,θu,sen,jəi,tʰkʰvän,,aːp,ˈtu
many,bɐˈɦɑtɔ,ˈpɑlju,dɐuɡ,ˈmitːomɑ,,kʏp,ˈpːɑlːʲo,,bɔˈhɔt̪,nānā,c̥roen,,di:kehi,,,i:dʒo:ɖ,tukud,,brɛli,ˈmnoɡə,ˈiməɣ,appaɾa,,manɡə,dumba,pala,,palə,ˈmnoɦo,ˈɡɛlɛk,bagge,ˈmul.tiː,ˈmolt,,ˈma̠ːnɯn,kajɾijə,mult͡sʲ,,ˈæijæ,ba:z,ˈmnɔɡu,,,ɲiaw³³,ˈæi,,uppu:m,,aˈsax,,,ˈmɛni,t͡ʃɔχ,bo.ku,tʃa:la,halaʋu,,ɖer,veːl,ˈʃok,,ˈmũj̃.tuʃ,,zɪˈjɒːd,tumba,ba:ɾi,ˈmɛŋkʊɹ,bɛvri,,,,ʋɛˈlìːkɔ,,,ˈmontɑ,tūk,baɲak,,dāūdz,,,əˈl̪ˠɑːnˠ,,,ʃɑt,ˈvʲɛ.lɛ,mäsærd,mjá,ˈpæːgiɲ,ˈfiːlə,baɲak,,,bɐ.ɦú,,dʒa:sta,ka.θiːr,ˈmarkʏr,tʃɔk,bajə,didɔ,peɾe,,ˈmut͡ʃos
sleep,,ˈmɑgɑmɑ,,ˈmɑkɑː,,,ˈmɑkɑmɑ,ma.ˈtu.loɡ,soː.nɑː,nidɾapoʋu,ṭek,ˈspac,andaɾpo ko:ɖa,,,oɾəgə,tukud,xʊa,luri,spatʲ,,oɾəgədə,ˈraːʔɐt,,oɾa,uɾanguga,nɔːn˦˥,uṟaṅku,spaːt,,khandaɾna,ˈdor.mi.oː,duɾˈmi,,t͡ɕa̠da̠,aɾgu,dorˈmi,nɔːn˧,ˈmɑguɑ,xatʃing,,soːva,,ŋu˧˩,ˈmɑgɑtɑ,,oɾkʰə,,,,,sliːp,jɑtˈmɑχ,dɔʁ.miʁ,undʒaʈam,malagu,ciˈmame,,ˈslaː.pə(n),ˈɒlsik,,duɾ.ˈmiɾ,dorˈmire,xɒːbiˈdæn,oɾa,dʒippaɾa,,dzili,,,,ˈspaːti,spʲɤ,ˈoɑ̯ððiːh(t),ˈnukːuɑ,maḍ,ti.dur,xɔːbiˈdæn,ɡulɛ̂ːt,ˈkəsɡɨ̞,ˈʃloːfən,ˈkɔd̪ˠɪlʲ,,,kʰəˈnɛl,spat͡ɕ,uʒ,ʔeɪʔ,ˈmɑgːɨ,ˈʃlaːfn̩,tido(r),,,s̪ʋɐ́.pi.t̪i,,mi:ɳɖa,naː.ma,ˈsɔːva,,,ndʒiri,i:mangsati,,dorˈmiɾ
scratch,,ˈkrɑːpimɑ,,ˈkrɑːpːiɑ,,,ˈkːrɑːpːmɑ,,,,ʾeḥ,,,,,,,ãsʊɹ,tsχäbäruä,t͡sɐˈrapətʲ,,,,,,,,,,,,ˈskal.poː,,,kɯk̚t͈a̠,,,kaw˧,ˈkyndʒie,,,,,ɣaːj˦ˀ˥,ˈkynstæ,ˈdrapat͡sʲ,,,,,,skɹætʃ,,ɡʁa.te,,,ˈksino,,,ˈvɒkɒr,,ko.ˈsa(ɻ),,xæɾɒːʃiːˈdæn,,,,pʰχätʃʼnä,,,,,,,ˈrɑːpiɑ,,,,,,,,,,kʰɛɾˈtsɛl,ˈdra.pat͡ɕ,lipʰχäntʃʼwä,koʊʔ,ˈkɑsiːɲtʲɨ,ˈkʀat͡sn̩,,çik̚ka̠kɯ̟ᵝ,,,,,,,,,ɔʁätsʼkʼu,,,rasˈkaɾ
there,ˈtɑm,ˈseɑl,,ˈsiːnæ,,unˈdɑ,ˈsːæːl,,,,,ˈtam,,,,,,tat,tʰɛkʰ,tam,,,ɛːmː,dar,,,nan˥˦,,tam,,,ˈi.bi,əˈʎa,,kʌ̹ɡi,,aˈko.lo,tʰiː˥˩.nan˥˩,ˈsielæ,,ˈtamu,dɛːr,,,ˈsigæ,,,,,,,ðɛə(ɹ),,la,,,e̞ˈci,ˈhalta,daːr,ˈotː,,ɐ.ˈi,,ɒːnˈdʒɒː,,,,ikʰ,,,,ˈtám,,ˈtoppe,ˈtuolːɑ,,,,tùɾ,ˈəna,do,ənʲˈʃɪnʲ,,,ɑjnˈtɛʁ,tam,ɛtʃɛtʃu,hòm̥à,ˈsæːl,dɔrt,,,,,,,hu.naː.ka,ˈθartna,,dɑːr,ɛkʰ,,,aˈʎi
if,,ˈkui,jæj,ˈkui,*na,æˈɡær,ˈkːu,,ə.ɡəɾ,,poe,ak,,ɔs,,,,,vär,ˈjes⁽ʲ⁾lʲɪ,,,ˈjɛkː,ves,,,,,ˈjɛstlɪʒɛ,,,siː,ˈsi,,,,ˈda.kə,tʰaː˥˩,ˈgu,,ˈakɔ,ɔm,,new˧˦,ˈku,,,,,,,ɪf,ˈæɡʲæɾ,si,,,,,ɑ(l)s,ˈhɒ,,sɨ,se,ˈæɡʲæɾ,,,,tʰu,,,,tʃɛ,,ˈjos,ˈjos,,,,,ɔs,,mˠɑː,,,jɛˈtʰɛ,ˈjɛɕ.lʲi,läχ,ka̰/,ˈɑʒ,vɛn,ka.lau̯,mo̞ɕi,,,,,ʔin,ɛːv,,,vänä,,,si
turn,,ˈpøːrɑmɑ,,ˈtʃæːntæː,,,ˈkːæːntmæ,,,,,,,,,,,,rtʰäpʰä,vrɐˈɕːat͡sːə,,,,drajə,,,,,ˈtot͡ʃɪt,,,ˈwer.toː,ʒiˈɾa,,ˈto̞ːɭda̠,,,mun˩˩˦,ˈkiændiæ,,,,,,ˈkæroutɑ,,,,,,,tɜːn,,tuʁ.ne,,,,tɑwaˈwəl,ˈdraːi̯ə(n),ˈforoɡ,,,dʒiˈrare,ɡæʃtæn,,,,tʼriäli,,,,,,,ˈkæːntyæ,,,,,,,kɑsˠ,,,ʃəɾdʒˈvɛl,,lisipʼ,l̥ɛ̰,ˈkiːe̞rɨ,ˈdʁeːən,,,,,,,,,dœnmec,,ɔkʰtʰu,,,xiˈɾaɾ
snake,,ˈmɑdu,ɡʲiːˈʋaːtʲeː,ˈmɑto,*zbrul,jɯ̞.ˈɫɑn,ˈhusː,,sɑ̃ːp,,bs´,ˈɦat,,,,,,xap,gvɛri,zmʲɪˈja,,,,,,,ŋuː˦˥,,ɦat,,,ˈan.ɡʷis,ˈseɾp,ʃɑp,pe̞ːm,,ˈʃarpe,ŋuː˧,ˈkiærmis,,,ˈʊrm,jilɑn,zan˧˦,ˈgɑd,zʲmʲaˈja,,íɲôːɠa,ʃlaŋ(ɡ),,,ˈsneɪk,,sɛʁ.pɑ̃,,,ˈfiði,,slɑŋ,ˈkiːɟoː,naˈχaʃ,ˈkɔ.bɾa,serˈpɛn.te,mɒːɾ,,,,gvɛli,mɔɢɔi,ˈⁿd͡ʒó.ka,,ˈkàːtʃa,zmiˈja,ˈkea̯rpmaʃ,ˈkæːrme,,,mɔːr,tʃūska,nei̯dr,ʃlaːŋ,ˈn̪ˠæhəɾʲ,ˈnaɛr,ˈɟ͡ʝaɾpəɹ,ɔt͡sʰ,vɔŋʂ,hwidʒ,mwè,ˈuːʃkɑ,ˈʃlaŋə,ula(r),pemi,ˈsɛɾpe̝,s̪ɐɽ.pɐ́,ŋɯ˧˩,,θuʕ.baːn,ˈstnauːkʏr,jɯ.ˈɫɑn,slɑŋ,tsʼitsʼilä,,sãp,serˈpjente
forest,,ˈmets,ˈmɪʂ.kɐs,ˈmetsːæ,*ɕiŋ.naks,urˈmɑn,ˈmɤtːsː,,,,b̥rai,ˈlɛs,,,kiːlʲ,,,ɦa.bi,tʼqʼä,lʲes,ˈkʰɤʎə,,,,,,,,lɛs,,,ˈsil.wa,ˈbɔsk,,sʰup̚,,pə.ˈdu.ɾe,paː˨˩,ˈmetʃːɑ,,ˈʃuma,skuːɡ,,zɨŋ˨˩,ˈmets,lʲes,,îːɬâːtʰi,,,,ˈfɒɹɪst,,fɔ.ʁɛ,,,ˈðasɔs,d͡zəŋɡəl,ʋɑu̯t,ˈɛrdøː,ˈja(ʕ)aʁ,floˈɾɛs.ta,,beːˈʃæ,,,,tʼqʼɛ,,,,ˈɡɔ́st,ɡoˈra,,ˈmetsæ,,hu.tan,beʃæ,,ˈkɔɨ̯dwɪɡ,beʃ,kiːlʲ,ˈkwɑːt,pyɫ,ɑnˈtɑr,las,tsχɛkʼ,tɔ́,ˈmɨt̪sɑː,valt,hutan,mo̞ɾʲi,ˈbɔske,ʋɐ́.n̪ɐ,ɗoŋ˨˦ fai˦˨,,ɣaː.ba,ˈskouːʏr,,bɔs,gɛrmä,,,ˈboske
short,kɔˈrɔtkei̯,ˈlyhike,,ˈlyhyd,,qɯ̞θ.ˈqɑ,ˈlyhykːene,,kəm,,k̥ʰlī,ˈkraːtki,,,,,,su.ti,kʼuntʼä,kɐˈrotkʲɪj,ˈkɤɾʲɪtʲ,,,kɔrt,,,,,ˈkraːtkiː,,,ˈkur.tus,ˈkuɾt,,t͡ɕ͈a̠ɭt͈a̠,,skurt,san˥˩,ˈlyhyt,,ˈkratɔk,kɔrt,,ŋan˧˦,ˈlyhyd,kaˈrotkʲi,,,,,,ʃɔːt,ɡɯˈsɑ,kuʁ,,,,,kɔrt,ˈrøvid,,ˈkuɾ.tu,ˈkorto,kʰuːˈt̪ʰɒːh,,,,mɔkʼlɛ,pɔɡʲən,,,ˈkràːtək,ˈkɤs,,ˈlyhyt,,,,îːs,bɨ̞r,,ɟaːɾˠ,,,kɑɾt͡ʃ,ˈkrut.kʲi,kʼudæ,tò,ˈliːt̪ɨ,kʊʁt͡s,,mʲiʑika̠i,,,,,qa.sˁiːr,ˈstʏhtʏr,,,mkʼulɛ,,t͡ʃʰoː.ʈɑː,ˈkorto
