word,vep,vot,fi,vro,krl,liv,et
foot,ˈjoug,ˈʝɑlkɑ,ˈjɑlkɑ,ˈjɑlk,ˈjɑlkɑ,ˈlɑbɑː,ˈjɑlg
leg,ˈjɑug,ˈrihi,ˈsæːri,ˈsːiːr,ˈsiæri,ˈjɑːlgɑ,ˈsæːr
throw,ˈtɑtstɑ,ˈviskɑː,ˈheitːæː,ˈhiːtːmæ,ˈheitːiæ,ˈe̞it̪ɨ,ˈʋiskɑmɑ
hand,ˈkæzi,ˈtʃæsi,ˈkæsi,ˈkːæsːi,ˈkæsi,ˈpiv,ˈkæsi
lake,ˈjærvʲ,ˈʝɑrvi,ˈjærʋi,ˈjærv,ˈjærvi,ˈjoːrɑ,ˈjærʋ
sharp,ˈterɑv,ˈterævæ,ˈteræʋæ,ˈtːerːæv,ˈterævæ,ˈvɑimi,ˈterɑʋ
long,ˈpitkʲ,ˈpitʃːæ,ˈpitkæ,ˈpːikːkː,ˈpitkæ,ˈpit̪kɑː,ˈpikː
laugh,ˈnɑgrdɑ,ˈnɑgrɑː,ˈnɑurɑː,ˈnɑːrtmɑ,ˈnɑkruɑ,ˈnɑgrɨ,ˈnɑermɑ
smooth,ˈtɑzo,ˈlɑkːɑ,ˈtɑsɑinen,ˈsːilːe,ˈtɑzɑine,ˈt̪ɑzzi,ˈsile
eat,ˈsødɑ,ˈsyvːæ,ˈsyødæ,ˈsːɨːmæ,ˈsyːvːæ,ˈsiːe̞d̪ɨ,ˈsøːmɑ
wipe,ˈpyhktæ,ˈpyhtʃiæ,ˈpyːhkiæ,ˈpːyhkːmæ,ˈpyhkie,ˈpuːst̪ɨ,ˈpyhkimɑ
father,ˈtɑt,ˈisæ,ˈisæ,ˈesːæ,ˈtuɑto,ˈizɑː,ˈisɑ
snow,ˈlumi,ˈlumi,ˈlumi,ˈlumi,ˈlumi,ˈlum,ˈlumi
blood,ˈtʃɑk,ˈveri,ˈʋeri,ˈveri,ˈveri,ˈve̞r,ˈʋeri
old,ˈvɑnh,ˈvɑnhɑ,ˈʋɑnhɑ,ˈvɑnɑ,ˈvɑnhɑ,ˈvɑnɑː,ˈʋɑnɑ
fight,ˈtorɑtɑ,ˈtɑpːɤɑ,ˈtɑpelːɑ,ˈtːɑpːlɤmɑ,ˈtoruɑ,ˈt̪ɑplɨ,ˈʋɤitlemɑ
pull,ˈvedɑdɑ,ˈtɤmpɑː,ˈʋetæː,ˈvitæmæ,ˈvetyæ,ˈvie̞d̪ːɨ,ˈtɤmbɑmɑ
one,ˈyksʲ,ˈyhsi,ˈyksi,ˈytːsː,ˈyksi,ˈikʃ,ˈyks
dull,ˈtylts,ˈtylpːæ,ˈtylsæ,ˈnyhr,ˈtyltʃːæ,ˈt̪ɨːlzɑ,ˈnyri
narrow,ˈkɑid,ˈɑhɑz,ˈkɑpeɑ,ˈɑhtːɑkɤnɤ,ˈkɑidu,ˈoːd̪ɨz,ˈkitsɑs
I,ˈminæ,ˈmiæ,ˈminæ,ˈmɑʔ,ˈmie,ˈminɑː,ˈminɑ
sea,ˈmeri,ˈmeri,ˈmeri,ˈmeri,ˈmeri,ˈme̞r,ˈmeri
