word,bg,it,ca,fy,kff,kxv,sv,brh,uk,gd,fo,ta,fr,pci,tcx,sk,sq,mjt,lzz,xub,ml,cy,pl,sl,lt,br,sva,gv,yea,no,ka,bfq,af,cs,ga,lv,nl,oc,es,xmf,mk,tcy,hy,is,de,ru,gdb,kru,be,ro,yi,pt,gon,gl,te,kfb,kfa,kn,da,el,kfe
scratch,,,,,,,,,,,,,ɡʁa.te,,,,,,ɔʁätsʼkʼu,,,,ˈdra.pat͡ɕ,,,,lipʰχäntʃʼwä,,,,pʰχätʃʼnä,,,,,,,,rasˈkaɾ,tsχäbäruä,,,kʰɛɾˈtsɛl,,ˈkʀat͡sn̩,t͡sɐˈrapətʲ,,,ˈdrapat͡sʲ,,,ko.ˈsa(ɻ),,,,,,,,ˈksino,
father,bɐˈʃta,ˈpa.dre,ˈpa.ɾə,hai̯t,,,,,ˈbɑtʲkɔ,ˈahəɾʲ,ˈfɛaːjɪɹ,,pɛʁ,,,ˈɔcɛt͡s,baba,,bäbä,,,taːd,ˈɔj.t͡ɕɛt͡s,ˈɔ̀ːtʃɛ,ˈtʲeːvɐs,ˈtɑːt,mu,ˈeːar,,,mämä,,fɑːdər,ˈotɛt͡s,ˈahəɾʲ,tǣːws,ˈvaː.dər,ˈpajɾe,ˈpadɾe,mumä,,,hɑjɾ,ˈfaːðɪr,ˈfaːtɐ,ɐˈtʲet͡s,,,ˈbat͡sʲka,ˈta.tə,ˈfɔtəʁ,paj,,,,,,,,paˈteras,
leg,krak,ˈɡamba,ˈka.mə,skoŋk,,,ˈbeːn,,,kʰas,,,ʒɑ̃b,,,ˈnɔɦa,kəm.bə,,kʼutʃχɛ,,,koːɨ̯s,ˈnɔ.ɡa,nɔ̀ːɡa,,ˈɡɑːr,tʃʼiʃχ,,,bæɪn,pʰɛχi,,,ˈnoɦa,kɔsˠ,kāːja,beːn,ˈkambo,ˈpjerna,kʼutʃχi,,,vɔtkʰ,ˈfouːtʏr,baɪ̯n,nɐˈɡa,,,naˈɣa,,fʊs,ˈpɛɾ.nɐ,,,,,,,beːn,ˈpoði,
louse,ˈvɤʃkə,pi.ˈdɔk̚.kjo,ˈpoʎ,,poɾiki,,,bo:dʰ,ˈwɔʃɐ,,lʉuːs,pe:nə,pu,pēni,iɾs,ˈvɔʃ,mɔr,bʰumi,tʼi,pja:nu,pe:n,ˈɬeɨ̯ɛn,vɛʂ,ˈúːʃ,,ˈlɔw,tʼiʃ,,pe:nə,,tʼili,ili,,ˈvɛʃ,,,lœy̯s,peˈzul,ˈpjo.xo,tʼi,ˈvɔʃka,pe:n,vɔˈt͡ʃʰil,luːs,laʊ̯s,voʂ,tukud,pe:n,voʂ,,,pi.ˈo.ʎu,poɾki,,pe:nu,pa:nu,pe:nə,he:nu,,,paiji
sleep,spʲɤ,dorˈmire,duɾˈmi,,undʒaʈam,,soːva,xatʃing,,,,uṟaṅku,dɔʁ.miʁ,maḍ,oɾkʰə,ˈspac,,andaɾpo ko:ɖa,ndʒiri,aɾgu,uɾanguga,ˈkəsɡɨ̞,spat͡ɕ,ˈspaːti,,,uʒ,,oɾa,,dzili,oɾəgədə,,spaːt,ˈkɔd̪ˠɪlʲ,ɡulɛ̂ːt,ˈslaː.pə(n),,dorˈmiɾ,luri,,dʒippaɾa,kʰəˈnɛl,ˈsɔːva,ˈʃlaːfn̩,spatʲ,tukud,khandaɾna,,dorˈmi,,duɾ.ˈmiɾ,mi:ɳɖa,,nidɾapoʋu,i:mangsati,oɾa,malagu,,ciˈmame,oɾəgə
straight,,dritto,,,,,,,,tʲiːɾʲəx,,,dʁwɑ,,,,,,duzi,,,,ˈprɔ.stɨ,,,,mɛtsʼwin,,,,stsʼɔri,,,ˈpr̝̊iːmiː,ˈdʲiːɾʲəx,,rɛxt,,,tʰini,,,uˈʁiʁ,peitn,ɡəˈraːdə,prʲɪˈmoj,,,praˈmɨ,drept,,ˈʁɛ.tu,,,,,,,,,
yellow,ʒɤlt,ˈdʒal.lo,ˈɡɾɔk,,pasap,hingeɾi,ɡʉːl,pu:ʃkun,ˈʒɔu̯tei̯,ˈb̥ujə,ˈkuːlʊɹ,mandʒaɭ,ʒon,tūk,aɾdʒin,ˈʒɫ̩tiː,,balke,säri,mandʒəla:ngi,maɲa,ˈmɛlɨ̞n,ˈʐuw.tɨ,ruˈmɛ́n,,,qʼwitʰɛl,,mandʒe,,qʼvitʰɛli,mandʒe,χɪə̯l,ˈʒlutiː,bˠiː,dzæ̀ltæns,ɣeːl,,amaˈɾiʎo,ʔvintʰɛli,,mandʒalu,dɛˈʁin,ˈkʏːlʏr,ɡɛlp,ˈʐoltɨj,tukud,ba:lka,ˈʐou̯tɨ,ˈɡal.ben,,ɐ.mɐ.ˈɾɛ.lu,piva:ʰd,,pasupu,pijuda,mandʒa,haladi,ɡuːl,,mandʒə
if,,se,ˈsi,ɔs,,,ɔm,,,,,,si,,,ak,,,vänä,,,ɔs,ˈjɛɕ.lʲi,tʃɛ,jæj,,läχ,,,,tʰu,,,ˈjɛstlɪʒɛ,mˠɑː,,ɑ(l)s,,si,vär,ˈakɔ,,jɛˈtʰɛ,ɛːv,vɛn,ˈjes⁽ʲ⁾lʲɪ,,,,ˈda.kə,,sɨ,,,,,,,ves,,
star,zvɛzˈda,ˈstel.la,əsˈtɾə.ʎə,,ukka,huka,²ɧæːɳa,isʈa:ɾ,,rˠeːɫ̪,ˈʃœtna,mīṉ,e.twal,cukka,naʈtʃatiɾam,ˈɦvi̯ɛzda,yɫ,bi:nka,murutsχi,mi:nu,nakʂatɾam,ˈsɛrɛn,ˈɡvʲaz.da,ˈzʋèːzda,ʒʋɐjɡʲʒʲˈdʲeː,ste.ˈʁe.dɛ̃n,ämtʼqʼwæsg,,natʃtʃatiɾa,²stjɛrnə,värskʼvlävi,natʃtʃatɾa,,ˈɦvjɛzda,ˈɾˠeːl̪ˠt̪ˠə,zvàjɡznɛ,stɛr,,esˈtɾeʎa,murutsχi,ˈd͡zvɛzda,nakʂatɾe,ˈɑstəʁ,ˈstjartna,ʃtɛʁn,zvʲɪzˈda,puʈ,bi:nko,ˈzorka,,ˈʃtɛʁən,ɨʃˈtɾelɐ,sukku,es̺ˈtɾelɐ,nakʂatɾamu,sukka,nakʂatɾa,nakʂatɾ,stjɛrnə,,nakʂaʈiɾam
wet,,baɲˈɲato,ˈmɔʎ,,,,voːt,,,flux,,,mu.je,,,ˈmokriː,,,ʃu,,,ɡwlɨːb,ˈmɔ.krɨ,ˈmòːkər,,,məʒir,,,,svɛli,,,ˈmokriː,fʲlʲʊx,slapʲʃ,nɑt,,moˈxado,ʃɔliri,,,tʰɑt͡sʰ,ˈvɔːtʏr,nas,ˈmokrɨj,,,ˈmokrɨ,ud,,muˈʎaðu,,,,,,,vɔːd,,
big,,ˈɡran.de,ˈɡɾan,,beɾɾa,be:ɾ,ˈvɵkˌsɛn,ballun,ʋeˈlɪkei̯,,,peɾija,ɡʁɑ̃,berto,ittu:ɖə,,,be:ɖo,didi,dappu,ʋaludə,,dɔˈrɔ.swɨ,,,,χɔʃä,,baleji,,didi,doɖɖadə,,,,,,,maˈɟ͡ʝoɾ,didi,ˈɡɔlɛm,malla,mɛt͡s,,ɡʁoːs,bɐlʲˈʂoj,muɾe,koha,,,,mɐjˈɔɾ,pedda,,pedda,bʰu:mi,baljadə,doɖɖadu,,,toɖut
lake,ˈɛzɛro,ˈlaɡo,ˈʎak,,,,ɧøː,,ˈɔzerɔ,,vaʰtn,,lak,,,ˈjazɛrɔ,liˈcɛn,,tʼɔbä,,,ɬɨ̞n,jɛˈʑɔ.rɔ,ˈjéːzɛrɔ,ˈæːʒʲɛɾɐs,,tʼɔb,laːx,,,tʼbä,,,ˈjɛzɛro,l̪ˠɔx,æzæɾs,meːr,,ˈla.ɡo,tʼɔbä,,,lit͡ʃ,vaʰtn,zeː,ˈozʲɪrə,,,ˈvozʲera,,,ˈla.ɣu,,ˈlaɣo̝,,,,,søː,,
rotten,,,,,,,,,,,,,puʁi,,,ˈɦɲiliː,,,χtsäpʰɛri,,,,ˈzɡɲi.wɨ,ˈɡníːw,,,mɛkʰwrɛ,,,,dämpʼäli,,,ˈzɦɲɪliː,ˈl̪ˠɔfˠə,,rɔt,,,ʔɔrädili,,,pʰəˈtɑt͡s,,faʊ̯l,ɡnʲɪˈloj,,,ɣnʲiˈɫɨ,ˈpu.tred,,ˈpo.ðɾɨ,,ˈpoðɾe̝,,,,,rɔdən,ˈsapços,
knee,koˈlʲano,dʒiˈnɔkkjo,ʒəˈnoʎ,,mo:ka:l,mendaja,,go:ɖ,,,knɛaː,muḻaṅkāl,ʒə.nu,tūk,muʈʈi,ˈkɔlɛnɔ,,mu:ka,burgili,mannga:lə,muḻaṅkāl,,kɔˈla.nɔ,kɔˈlèːnɔ,ˈkʲæ̌ːlʲɪs,ˈɡliːn,kʰutʰul,ɡlʲuːnʲ,mu:leka:lə,,muχli,muʈʈi,,ˈkolɛno,ɡl̪ˠuːnʲ,tsɛlis,kni,(d)ʒeˈnul,roˈdiʎa,birguli,,meɳaka:ləganʈu,t͡suŋk,n̥jɛː,kniː,kɐˈlʲenə,ʋangul,muka,kaˈlʲena,dʒeˈnunkʲ,knɪ,ʒu.ˈe.ʎu,tongɾa,ʃeˈonʎo̝,mo:ka:lu,muɖsu,maɳɖi,muṇakālo,,ˈɣɔnatɔ,mo:ga:l
sing,ˈpɛjə,kanˈtaːre,kənˈta,,,,,,sʲpʲiˈu̯ɑte,,,,ʃɑ̃.te,,,,kənˈdɔj,,ɔbiru,,,ˈkanɨ̞,ˈɕpʲɛ.vat͡ɕ,ˈpɛ̀ːti,dɐjˈnuɔtʲɪ,,liʁräl,,,²sʏŋːjɑ,mʁɛrä,,səŋ,ˈspiːvat,kanˠ,dziɛ̂dâːt,ˈzɪ.ŋə(n),,kanˈtaɾ,birä,,,jɛɾˈkʰɛl,ˈsiɲca,ˈzɪŋən,pʲetʲ,,,,kɨnˈta,ˈzɪn.ɡn̩,kɐ̃ˈtaɾ,,,,,,,sønɡə,,
back,ɡrɤp,ˈskjɛna,əsˈkə.nə,rɛːx,,,rʏɡ,,,kʰuːɫ̪,,,do,,,ˈxr̩baːt,ʃpiːn,,kʼäpʼulä,,,,ˈplɛ.t͡sɨ,ˈxərbət,ˈn̪ʊɡɐrɐ,ˈkɛjn,tʃʼätʃʼær,d̪riːm,,,zurgi,,rœχ,ˈzaːda,d̪ˠɾˠiːmʲ,,rʏx,,esˈpal.da,ɔtʃʼiʃi,ɡr̩p,,mɛt͡ʃʰkʰ,paːk,ˈʁʏkn̩,spʲɪˈna,,,ˈsʲpʲina,,,ˈkɔs.tas,,ˈlombo̝,,,,,,,
stab,,puɲɲaˈlare,ə.pu.ɲəˈla,,,,,,,,,,pwa.ɲaʁ.de,,,,,,ɔtsigu,,,,,,,,liswɛm,,,,rtʃʼɔbä,,,,,,ˈsteːkə(n),,apuɲaˈlaɾ,tsikʼäpʰä,,,χoˈtsʰɛl,,ˈʃtɛçn̩,zɐˈkalɨvətʲ,,,,,,,,,,,,,,,
where,,ˈdove,ˈon,,,,dɛːr,,ˈdɛ,,,,u,,,ˈɡɟɛ,,,sɔ,,,,ɡd͡ʑɛ,ˈkjèː,kʊr,,imɛg,,,,säd,,,ɡdɛ,,kùɾ,ʋaːr,ˈunt,ˈdonde,sɔ,ˈkadɛ,,vɔɾˈtɛʁ,,voː,ɡdʲe,,,,ˈunde,vʊ,ˈõ.d͡ʒi,,ˈonde̝,,,,,,,
tree,dərˈvɔ,ˈal.be.ro,ˈa.bɾə,bɪə̯m,ma:ɾa,paʈa,,dɾahkʰt,,,tɹɛaː,maɾam,aʁbʁ,meri,me:n,strɔm,,bʰumi,ndʒä,meɾi,maɾam,ˈkɔɨ̯dɛn,ˈdʐɛ.vɔ,drɛˈʋóː,ˈmʲæːdʲɪs,ɡwe,mɛgɛm,ˈbilʲə,maɾa,,χɛ,moɾa,bʊəm,strom,kɾˠaun̪ˠ,kùoks,boːm,,ˈarbol,dʒä,,maɾa,t͡sɑr,tʰrjɛː,baʊ̯m,ˈdʲerʲɪvə,tukud,mann,ˈdreva,ˈarbore,bɔjm,ˈaɾ.vu.ɾɨ,maɾa,,tʃeʈʈu,ma:k,maɾa,mara,trɛː,ˈðe̞n.dro̞,maɾam
he,t̪ɔj,ˈlui,ˈeʎ,hɛi̯,,,hanː,,ˈʋʲin,ɛ,,,il,,,ɔn,,,ɛjä,,,eːv,ɔn,ˈɔ́n,jɪs,,ɛdʒi,,,,is,,,on,ʃeː,viɲʃ,ɦɛi̯,,el,tʰinä,tɔj,,nɑ,ˈhanː,ʔeːɐ̯,on,,,jon,,,ˈe.li,,ˈel,,,,,han,aˈftos,
they,t̪ɛ,,ˈeʎs,ja,,,dɔm,,wɔˈnɪ,iət̪,tʰaiːɹ,,il,,,ˈɔɲi,aˈta,,ɛntʰɛpʰɛ,,,huːɨ̯,ˈɔ.ɲi,ˈɔ̀ːni,jæ,,ɛdʒær,,,,isini,,,ˈoɲɪ,ʃiəd̪ˠ,,zɛi̯,,ˈeʎos,tʰinɛpʰi,tiɛ,,nəˈɾɑŋkʰ,θeiːr,ziː,ɐˈnʲi,,,,jej,,ˈe.lɨʃ,,,,,,,di,,
how,,ˈkome,ˈkɔm,,,,hʉːr,,,,,,kɔ.mɑ̃,,,ˈjak,si,,mutʃʼɔ,,,sɨ̞t,jak,kaˈkòː,kaɪˑp,,imʒi,,,ˈkʊrlæɪs,rɔgɔr,,,jak,ˈkʊnˠəsˠ,,ɦu,,ˈkomo,mutʃʼɔ,ˈkakɔ,,int͡ʃʰˈpɛs,,viː,kak,,,,kum,,ˈko.mu,,,,,,,,ˈpos,
fight,,lɔt.ˈta.re,ʎujˈta,,,,,,,,,,batʁ,,,ˈbɔjɔvac,,,ɔkʼɔkʼidinu,,,,ˈval.t͡ʂɨt͡ɕ,,,,litsuäl,,,,tʃχubi,,,ˈbojovat,t̪ˠɾˠɪdʲ,,ˈstrɛi̯də(n),,peleˈaɾ,tʃχupʼi,,,kərˈvɛl,,kɛm(p)fən,ˈdrat͡sːə,,,,,,lu.ˈtaɾ,,,,,,,,,
sand,ˈpʲasək,ˈsab.bja,ˈso.rə,,isike,bali,,ɾe:k,pʲiˈsɔk,,,maɳal,sɑbl,man,manal,ˈpi̯ɛsɔk,,ba:li,ʁumi,maɳalə,maɳal,,ˈpʲa.sɛk,ˈpèːsək,,tʁɛs,kʰwiʃɛ,ˈɡʲanʲax,maɳə,sɑnd,kʰviʃä,pakke,sant,ˈpiːsɛk,ˈɡanʲəvˠ,,zɑnt,ˈsaβlo,aˈɾena,kʰviʃä,,pojja,ɑˈvɑz,ˈsantʏr,zant,pʲɪˈsok,ma:n,tʃalkuɾu,pʲaˈsok,niˈsip,,ɐˈɾɐjɐ,uske,ˈʃaβɾe̝,isuka,usuka,maɳa,maraɭu,san,,bʰulo:gam
horn,,ˈkɔr.no,ˈba.ɲə,,komm,,,maɾgʰ,,,hɔtn,kombə,kɔʁn,tūk,ku:ɾ,ˈrɔx,,maɾgadu,kʰrä,kombbə,kompə,kɔrn,ruk,ˈróːk,ˈrä̌ːɡɐs̪,,mitʃʼw,,kombə,hʊrn,rkʰä,kombə,,ˈrox,əiɾˠk,ɾaks,ɦoːrn,,ˈkwerno,kʰä,,kombu,jɛʁd͡ʒˈjuɾ,hɔrtn,hɔrn,rok,kaɾ gutʃul,maɾag,,korn,,ˈʃi.fɾɨ,koɾ,ˈkɔɾno̝,kommu,kommu,kombə,kombu,,,bʰulo:gam
moon,luˈna,ˈlu.na,ˈʎu.nə,ˈmwanə,sanɖama:ma,lendʒu,ˈmoːˌnɛ,ʈu:be,,,ˈmɔanɪ,cantiraṉ,lyn,neliñ,nila,ˈmɛsi̯at͡s,hənə,bilpdu,tʰutʰä,pəɾi,tʃendɾan,ˈɬeɨ̯ad,ˈkɕɛŋ.ʐɨt͡s,ˈlùːna,mʲeːˈnʊlʲɪs,,dɔʃdul,eːs,nilatʃi,,mtʰvärɛ,tinguʋa,,ˈmjɛsiːt͡s,ɟəˈl̪ˠɑx,,maːn,ˈlyno,ˈluna,tʰutʰä,,tʃendɾe,luˈsin,tʰuŋl,moːnt,lʊˈna,neling,tʃando,,ˈlunə,,ˈlu.ɐ,dʒango,ˈluɐ,tʃendɾuɖu,nela,tʃendɾa,candra,,,nelavə
say,ˈkazvəm,ˈdi.re,ˈdi,,kella,,ˈsɛjːa,pa:ning,,ˈapɪɾʲ,siːja,tʃollə,diʁ,en,a:ʋaɖə,ˈɦɔvɔric,θɛm,hauɖpo,ɔtʰkʰu,pə:ɭ,paɾajuga,,ˈmu.vʲit͡ɕ,ˈrɛtʃi,sɐˈkʲiːtʲɪ,,likʰwisg,,paɾe,²sæɪɑ,tʰkʰmä,egəʋə,sɛː,r̝iːt͡st,ˈabˠəɾʲ,satsîːt,ˈzɛɣə(n),,deˈθiɾ,tʰkʰuälä,,paɳaɾa,ɑˈsɛl,ˈseiːja,zaːɡən,ɡəvɐˈrʲitʲ,tukud,bakʰna,ɣavaˈrɨt͡sʲ,ˈzitʃe,ˈzɔ.ɡŋ̩,di.ˈzeɾ,in,diˈθiɾ,tʃeppu,bʰu:mi,annə,heɭu,,,paidu
dirty,,ˈspɔrko,ˈbɾut,,,,,,,,,,sal,,,,,,lɛbɔni,,,,ˈbrud.nɨ,uˈmáːzan,,,lətsʼid,,,²ʃɪtːn̩,tʃʼutʃʼqʼiäni,,,ˈʃpɪnaviː,sˠəˈl̪ˠax,nɛtīːɾs,vœy̯l,,ˈsuθjo,tsʼindämi,,,kɛχˈtɔt,ˈouːr̥eitn,ˈʃmʊt͡sɪç,ˈɡrʲaznɨj,,,ˈbrudnɨ,murˈdar,,ˈsu.ʒu,,,,,,,beskit,,
short,ˈkɤs,ˈkorto,ˈkuɾt,,,,kɔrt,,kɔˈrɔtkei̯,ˈkɤɾʲɪtʲ,,,kuʁ,,,ˈkraːtki,,,mkʼulɛ,,,bɨ̞r,ˈkrut.kʲi,ˈkràːtək,,,kʼudæ,,,,mɔkʼlɛ,,,ˈkraːtkiː,ɟaːɾˠ,îːs,kɔrt,,ˈkorto,kʼuntʼä,ˈkratɔk,,kɑɾt͡ʃ,ˈstʏhtʏr,kʊʁt͡s,kɐˈrotkʲɪj,,,kaˈrotkʲi,skurt,,ˈkuɾ.tu,,,,,,,kɔrt,,
long,ˈdɤlək,ˈlunɡo,ʎuˈɲa,,poɖaʋuʈa:du,,lɔŋ,muɾgun,ˈdɔu̯ɦei̯,fad̪̊ə,ˈlɛŋkʊɹ,nīṇṭa,lɔ̃,tūk,neɾti,ˈdl̩ɦiː,,digaɖo,gundzɛ,uddu,ni:nɖa,hiːr,ˈdwu.ɡʲi,ˈdɔ́ːwk,,,dʒwɛdi,,ni:ʈa,,grdzɛli,utta,,ˈdlou̯ɦiː,ˈfˠɑd̪ˠə,,lɑŋ,,ˈlarɡo,gindzɛ,,uda,jɛɾˈkɑɾ,ˈlaŋkʏr,laŋ(k),ˈdlʲinːɨj,tukud,diga:h,ˈdou̯ɣʲi,luŋɡ,,ˈlõ.ɡu,la:m,,poɖaʋu,poɖa:m,uddə,udda,lanɡ,,ni:tam
breathe,,respiˈrare,rəs.piˈɾa,,,,,,,,,,ʁɛs.pi.ʁe,,,ˈdiːxac,,,ɔʃvänu,,,anˈadlɨ̞,ɔdˈdɨ.xat͡ɕ,,,,liχwäntʼɛ,,,,suntʰkʰvä,,,ˈdiːxat,,,ˈaːdəmə(n),,,,,,ʃənˈt͡ʃʰɛl,ˈanta,ˈaːtmən,dɨˈʂatʲ,,,,,,ʁɨʃ.pi.ˈɾaɾ,,,,,,,ɔnə,a.naˈpne.o,
salt,,ˈsale,ˈsal,,,,salt,,ˈsʲilʲ,,sal̥t,,sɛl,,,ˈsɔʎ,ˈkɹi.pə,,dʒumu,,,ˈhalɛn,sul,ˈsóːw,,,dʒim,ˈsolan,,,märili,,,suːl,ˈsalˠən̪ˠ,sàːls,zɑu̯t,,sal,dʒimu,,,ɑʁ,sal̥t,zal(t)s,solʲ,,,,ˈsa.re,,ˈsaɫ,,s̺al,,,,,salt,aˈlati,
good,doˈbɤr,ˈbwɔː.no,ˈbɔ,,mantʃid,nejun,ɡuːd,dʒua:n,ˈdɔbrɪj,maː,ˈkɔuːwʊɹ,nalla,bɔ̃,tūk,ulti,ˈdɔbriː,majɾ,he:ɖu,kʼäi,nall,nalla,daː,ˈdɔ.brɨ,ˈdòːbər,ˈɡʲæɾɐs,,χɔtʃä,,nallə,,kʼärgi,oɭɭajadə,χut,ˈdobriː,mˠa,,ɣut,,ˈbweno,dʒgiri,,eɖɖedana,lɑv,ˈkouːðʏr,ɡuːt,xɐˈroʂɨj,tukud,da:ʋ,ˈdobrɨ,bun,ɡʊt,bõ,assal,ˈbo,mantʃi,sobhatan,nalla,oɭɭijadu,ɡoð,kaˈlos,oludə
fly,muˈxa,,ˈmos.kə,mɪx,tulla,,,ba:l kanning,,,ˈfluː(w)ʊ,paɾə,muʃ,tūk,po:ɾtʃ,ˈmuxa,,uɖa:ɾi,ɔpʰutʰχinu,pa:ɾ,paɾakkuga,,ˈmu.xa,ˈmùːxa,,,lipʼɛr,,mannə,²flʉːɡə,pʰrɛnä,paɾappə,,ˈmou̯xa,kɪˈlʲoːɡ,muʃa,vlix,,ˈmoska,pʰurinuä,,ɾa:paɾa,t͡ʃɑnt͡ʃ,ˈflʏːɣa,ˈfliːɡə,ˈmuxə,tukud,uɖijaɾna,,,,ˈmos.ka,paɾi,ˈmoska̝,eguɾu,tulsa:d,pa:ɾa,ha:ɾu,fluːə,ˈmiɣa,pa:ɾʋu
liver,ˈtʃɛrɛn drɔp,ˈfeɡato,ˈfe.d͡ʒə,,ka:dʒam,,,dʒagaɾ,,,ˈliːvʊɹ,i:ɾaɭ,fwa,taruṅg,kuɖa:l,ˈpɛtʃɛɲ,,tʃedɾo,dʒigɛri,tədlə,īral,ˈavɨ̞,vɔnˈtrɔ.ba,ˈjèːtra,,ˈɑːvy,qʼwiʒɛ,eːn,tombe,ˈleːʋɛr,ʁvidzli,,,ˈjaːtra,eː,aknas,ˈleːvər,,ˈiɡado,tʃχɔntʃχi,ˈd͡ʒiɡɛr,mannə,ljɑɾtʰ,ˈlɪːvʏr,ˈleːbɐ,ˈpʲet͡ɕɪnʲ,taɖing,umbalkʰo,ˈpʲet͡ʂanʲ,,,ˈfi.ɡɐ.du,taɾki,,ka:lejamu,kaleja,tombe,hīri,leːvər,,i:ru
woman,ʒɛˈna,ˈdɔn.na,ˈdɔ.nə,,na:taʋa:d,ɖoli,ˈkvɪnːˌa,njaaɽi,ˈʒʲinkɐ,b̥ɛn,,peɳ,fam,tūk,tusmo:gə,ˈʒe.na,ˈɡɾua,teldu,ɔχɔrdʒä,pəɳakkən,peɳɳə,,kɔˈbʲɛ.ta,ˈʒèːnska,ˈmoːtʲɛrʲɪs,,zuräl,bɛᵈn,panitʃi,²kʋɪnːə,kʰäli,emma:ti,,ˈʒɛna,bʲanˠ,,vrɑu̯,ˈfenno,muˈxeɾ,ɔsuri,ˈʒɛna,pondʒa,kin,ˈkʰɔːna,fʁaʊ̯,ˈʐɛnʲɕːɪnə,tukud,mukka,ʐanˈt͡ʂɨna,feˈmeje,,muˈʎɛɾ,muɾtad,muˈʎɛɾ,stɾi:,ba:ji,ponna:ɭə,hengasu,ˈkʰvenə,ʝiˈne̞ka,pemagu
dig,,skaˈvare,kəˈva,,,,,,,,,,kʁø.ze,,,ˈkɔpac,,,ɔntʰχɔru,,,,ˈkɔ.pat͡ɕ,kɔˈpàːti,,,libərdʒɛ,,,,tʰχrä,,,ˈkopat,ˈt̪ˠɔxəlʲ,ɾakt,ˈɣraːvə(n),,ekskaˈbaɾ,ntʰχɔruä,,,pʰɔˈɾɛl,,ˈɡʁaːbən,kɐˈpatʲ,,,,,,,,eskaˈβaɾ,,,,,ɡraːvə,,
bad,,kaˈtːiːvo,doˈlent,,,,ˈdoː.lɪ(ɡ),,,ˈt̪ɔnə,ˈɪtlʊɹ,,mo.vɛ,,,ˈzɫiː,,,pʼätʼi,,,druːɡ,zwɨ,ˈsláp,ˈbloːɡɐs,,χɔlä,,,,tsudi,,,ˈʃpatniː,ˈd̪ˠʊnˠə,,slɛxt,,ˈmalo,gläχä,,,vɑt,ˈvɔntʏr,ʃlɛçt,plɐˈxoj,,,ˈdrenːɨ,rəw,,ʁuˈĩ,,,,,,,dɔːli,kaˈkos,
sea,moˈrɛ,ˈmaːre,ˈmar,seː,,,ɧøː,,,,hɛaːv,,mɛʁ,,,ˈmɔrɛ,dɛt,,zuʁä,,,moːr,ˈmɔ.ʐɛ,ˈmóːrjɛ,ˈjuːrɐ,ˈmoːʁ,dzuʁwä,,,hɑːʋ,zʁvä,,,mor̝ɛ,,jūːɾa,zeː,,ˈmaɾ,zʁvä,,,t͡sɔv,haːv,meːɐ̯,ˈmorʲe,,,,ˈma.re,,maɾ,,,,,,,hav,ˈθalasa,
throw,,,ʎənˈsa,,,,,,,ˈtʃʰilikʲ,kʰasta,,ʒə.te,,,,,,ɔstʰɔmilu,,,ˈtavlɨ̞,ˈʐu.t͡sat͡ɕ,,ˈmʲɛsʲtʲɪ,,likʼwänɛ,,,,srɔlä,,,,kɑh,mest,ˈʋɛrpə(n),,,ʔɔtʰämä,,,nɛˈtɛl,ˈkʰasta,ˈvɛʁfən,brɐˈsatʲ,,,,,,lɐ̃.ˈsaɾ,,,,,,,,,
with,sɤ,kon,əmb,,,,meː(d),,z,,viː,,a.vɛk,,,s,mɛ,,kʼälä,,,a,s,s,sʊ,,tsäχæn,,,meː,tʰän,,,s,lʲɛ,,mɛt,,kon,tsʼkʼɛlä,,,hɛt,,mɪt,s,,,,ku,,kõ,,ko̝ŋ,,,,,mɛd,me̞,
flow,tɛˈkə,fluˈire,fluˈi,,,,,,,,,,ku.le,,,ˈci̯ɛt͡sc,,,ɔzimzilu,,,,ˈpwɨ.nɔɲt͡ɕ,ˈtɛtʃi,ˈbʲeːk.tʲɪ,,lizi,,,,dinɛbä,,flui,tɛːt͡st,,,ˈvlujə(n),,ˈflwiɾ,ulä,,,hoˈsɛl,ˈrɛnːa,ˈfliːsn̩,tʲet͡ɕ,,,,,,,,,,,,,,ˈre.o,
blow,,sofˈfjare,buˈfa,,,,,,,,,,su.fle,,,,,,bäräpʰä,,,ˈχwəθɨ̞,ˈdmu.xat͡ɕ,,ˈpǔːsʲtʲɪ,,libɛlɛ,,,,bɛrvä,,,ˈvaːt,ʃeːdʲ,,ˈblaːzə(n),,,bäruä,ˈduva,,pʰəˈt͡ʃʰɛl,,ˈblaːzn̩,dutʲ,,,,,,suˈpɾaɾ,,,,,,,blɛːsə,,
fall,ˈpad̪əm,kaˈdere,ˈkaw.ɾə,,,,falːa,,ˈpadatɪ,t̪uʰtʲ,fatl,,tɔ̃.be,,,,ˈbiɛ,,gɛntʰχinu,,,ˈsərθjɔ,ˈspa.dat͡ɕ,ˈpaːsti,,,liwɛχ,,,,dätsɛmä,,fal,ˈpadat,tʲɪtʲ,,ˈvɑlə(n),,kaˈeɾ,dɔntʰχäpʰä,,,əŋkˈnɛl,ˈfatla,ˈfaln̩,ˈpadətʲ,,,,kəˈde̯a,,kɐˈiɾ,,,,,,,,,
