word,zu,xub,hy,ar,yea,ml,mk,es,gd,ka,yi,ny,kxv,tg,sv,kff,de,th,ro,cs,ru,za,lt,bfq,hi,gv,cy,te,kfe,liv,he,pt,pl,bg,ur,gdb,vro,hu,ca,brh,mjt,ko,my,ug,ga,sq,bn,lb,ku,kfa,ja,gl,nl,nn,ta,vot,tcy,tr,az,ms,en,br,tcx,et,km,is,as,ps,vep,be,fa,kfb,pci,uk,xmf,sva,sk,fr,fo,el,id,af,oc,krl,vi,la,bo,kru,tl,kn,gon,lo,da,mt,sl,lv,ba,fy,fi,se,mn,lzz,sa,it
lie,,ba:ɖ,sut,,bi:ndo,kiɖakkuga,,menˈtiɾa,,tsʼɔlä,,ˈɓó.d͡za,,,lœŋn,undʒa,ˈlyːɡə,,,lɛʃ,loʂ,,ˈmʲæːɫas,haɖaʋə,d͡ʒʱuːʈʰ,,,paɖukonu,bʰulo:gam,ˈmɑgːɨ,,mẽ.ˈti.ɾɐ,ˈkwam.stfɔ,ɫəˈʒa,,tukud,ˈvɤlsːmɑ,ˈhɒzukʃaːɡ,mənˈti.də,dɾogʰ taɖing,ko:ɖpo,ˈkɘːd͡ʑinma̠ɭ,mṵðá,jɑlʁɑn,bʲɾʲeːɡ,,,ˈliʑən,,budda,ɯ̟ᵝso̞,,ˈløː.ɣə(n),,keɖə,ˈleʃeæ,buɾo:naɾa,jaɫan,jaˈɫan,,laɪ̯,,poaʈtʃi:,ˈlɑmɑmɑ,kuhk,ˈlɪːjɪ,,,ˈmɑgɑtɑ,,doˈɾuːɣ,laba:ɖ muɖsati,maḍ,,dɔndʒirä,liqʼwrɛ,ˈkɫamstvɔ,mɑ̃.sɔ̃ʒ,,,,,,ˈmuɑtɑ,nɔj˧˦ zoj˧˦,menˈdaː.ki.um,,paiha,maɡ.si.nu.ŋa.ˈliŋ,malagu,miɳɖsi,,løɡn,,ˈláːʃ,,jɑɫ.ˈʁɑn,,ˈmɑːtɑ,,xʊtəɮ,dɔndʒiru,,buˈd͡ʒi.a
guts,,,pʰoɾoˈtikʰ,,,,ˈt͡srɛva,,,nätsʼlävi,,,,,,,ˈaɪ̯nɡəvaɪ̯də,,,,kʲɪʂˈkʲi,,,,,,,,,ˈsuːold̪,,,,,,,ˈsːoːlikuʔ,ˈbeːl,,,,,ʔù,,ˈɪn̠ʲiː,,,,,,,,,,,ˈsoːlɤd,,,,,ɡʌts,,,ˈsoːled,,,,,ˈsoliʃt,,,,,,tʃʼi,tʃʼintʃʼil,,ɑ̃t.ʁaj,,,,,,ˈsuonet,,,,,,,,,,,,,,,ˈsuolisto,,,tʃʼu,,
dust,úːtʰuːli,,pʰoˈʃi,ɣu.baːr,,,,ˈpol.bo,,mtʼvɛri,,ˈfu.ᵐbí,,,dam,,ʃtaʊ̯p,fun˨˩,,,pɨlʲ,,,,d̪ʱuːl,dʒaun,ɬuːχ,,,ˈpɨrm,,ˈpɔ,kuʂ,,d̪ʱuːl,,ˈtːolm,ˈpor,ˈpols,,,mʌ̹nd͡ʑi,pʰòʊɴ,,dʲanˠəx,,,ʃtəps,,,,pɔ,,,,ˈtolmu,,toz,toz,haboʔ,dʌst,,,ˈtolm,dʰūlī,rɪːk,dʱu.li,,ˈpøly,pɨɫ,,,,,tʼvɛri,pʼisw,,pu.sjɛʁ,,,,stɔf,,ˈpøly,ʔɓuj˧˨ʔ,ˈpul.wis,*tʰal.ba,,,,,,støːv,,ˈpráːx,,sɑŋ,,ˈpøly,ˈkavːja,,mtʼvɛri,d̪ʱuː.l̪i,ˈpol.ve.re
water,ámáːnzi,ni:ɾə,d͡ʒuɾ,maːʔ,ni:ɾu,ʋellam,,ˈaɡwa,ˈɯʃkʲə,tsʼqʼäli,,ˈma.d͡zí,eju,ɔːb,ˈvatːɛn,e:ɾu,ˈva.sɐ,naːm˦˥,ˈapə,ˈvoda,vɐˈda,ɣam˦˨,,ni:ɾə,pɑː.niː,ˈuʃtʲə,duːr,ni:ɾu,ni:ɾ,ˈve̞ʒ,,,ˈvɔ.da,,pɑːniː,ni:r,ˈvesːi,ˈviːz,ˈaj.ɡwə,di:r,hamdu,muɭ,jè,su,ˈɪʃcɪ,ˈujə,dʒɔl,ˈvaːsɐ,,ni:ɾə,⟨mi1du⟩,ˈaw.ɡa,ˈʋaːtər,ˈʋɑtn̩,taɳɳi,ˈvesi,ni:ɾə,ˈsu,su,,ˈwɔːtə,ˈduːʁ,ni:ɾ,ˈʋesi,dẏk,vaʰtn,pa.ni,obə,ˈvezi,vaˈda,ɒːb,i:ɾ,nīr,wɔˈdɑ,tsʼqʼäri,lits,ˈvɔda,o,vaʰtn,neˈro,a.ʔɪr,ˈvɑːtər,,ˈvesi,nɨək̚˧˦,ˈa.kʷa,*t͡ɕʰu,amm,ˈtu.biɡ,ni:ɾu,jeɾ,nam˥˦,vand,,,ûːdɛns,hɯ̞w,ˈvɛtər,ˈʋesi,ˈt͡ʃaːht͡siː,ʊs,tsʼkʼäri,ɐ́p,
four,,,t͡ʃʰɔɾs,ʔar.ba.ʕa,,,,ˈkwatɾo,,ɔtʰχi,fiʀ,,,,ˈfyːˌra,,fiːɐ̯,siː˨˩,ˈpa.tru,ˈt͡ʃtɪr̝ɪ,t͡ɕɪˈtɨrʲe,θei˧˥,kʲɛt̪ʊˈrʲɪ,,,kʲeːə(r),ˈpɛdwar,,,ˈne̞ːʎɑ,,ˈkwa.tɾu,ˈt͡ʂtɛ.rɨ,,,,ˈneli,ˈneːɟ,ˈkwa.tɾə,,,ne̞ːt̚,lé,tøt,ˈcahəɾʲ,ˈkatəɾ,,ˈfɜɪ̯ɐ,,,jo̞,,vir,,,ˈnelːæ,,dœɾt,dœɾd,əmpat,fɔː,,,ˈneli,puan,ˈfjouːrir,sa.ɹi,t͡sa.lor,ˈnelʲː,t͡ʂaˈtɨrɨ,tʃæˈhɒːɾ,,,t͡ʃoˈtɪrɪ̞,ɔtʰχi,wɔʃtʰχw,ˈʃtiri,katʁ,ˈfʊiːɹa,ˈte̞se̞ˌra,əm.pat,,ˈkatre,ˈnelʲːæ,ʔɓon˧˦,ˈkʷat.tu.or,*bʑi,,ˈa.pat,,,siː˧˧,fiːrə,,ˈʃtìːrjɛ,tsætri,dʏrt,,ˈneljæ,ˈɲe̯aʎːʎe,torəw,ɔtʰχɔ,t͡ɕɐ́.t̪uɽ,ˈkwat.tro
fruit,isítʰeːlo,,pəˈtuʁ,faː.ki.ha,,,,ˈfɾuta,,χili,fʁʊχt,t͡ʃiˈpá.t͡so,,mevæ,ˈfrɵkt,,fʁʊxt,luːk̚˥˩,,ˈovot͡sɛ,plot,maːk˧˥,ˈvai̯sʲʊs,,pʰəl,meːs,fruːɨ̯θ,,,ˈviːʎɑ,pʁi,ˈfɾu.ta,ˈɔ.vɔt͡s,plɔt,pʰəl,,ˈvili,ˈɟymølt͡ʃ,,,,ˈkwa̠ːiɭ,ʔəθí,,ˈt̪ˠɔɾˠə,,pʰɔl,,,,,ˈfɾojta̝,vrʏxt,,,ˈviʎːɑ,,,mɛjvæ,buah,fɹuːt,fʁwɛs,,ˈʋili,p̥ʰlaejʰoe,ˈauːvœxstʏr,,,ˈplod,,miːve,,,,χili,χil,ˈɔvɔt͡si̯ɛ,fʁɥi,,,,,,ˈfrukt,kwaː˧˩,ˈfruːk.tus,*ɕiŋ.tok,,,,,,frɔɡt,,ˈsáːdɛʃ,âwɡlis,jɪ̞ˈmɪ̞ʃ,,ˈhedelmæ,,ur,χilä,pʰɐ́.l̪ɐ,ˈfru.tːo
moon,íɲaːnɡá,pəɾi,luˈsin,,nilatʃi,tʃendɾan,,ˈluna,,mtʰvärɛ,,ˈmʷe.zí,lendʒu,,ˈmoːˌnɛ,sanɖama:ma,moːnt,t͡ɕan˧,ˈlunə,ˈmjɛsiːt͡s,lʊˈna,ɣoːŋ˧ ɗɯːn˨˦,mʲeːˈnʊlʲɪs,tinguʋa,t͡ʃɑːnd̪,eːs,ˈɬeɨ̯ad,tʃendɾuɖu,nelavə,ˈkuː,jaˈʁɛaχ,ˈlu.ɐ,ˈkɕɛŋ.ʐɨt͡s,luˈna,,neling,ˈkːuː,ˈhold,ˈʎu.nə,ʈu:be,bilpdu,ta̠ɭ,la̰,,ɟəˈl̪ˠɑx,hənə,,,,tʃendɾa,ta̠iĩɴ,ˈluɐ,maːn,,cantiraṉ,ˈkuː,tʃendɾe,aj,,bulan,muːn,,nila,ˈkuː,lokkʰae,tʰuŋl,zʊn,spoʐˈməi,ˈku,,,nela,neliñ,,tʰutʰä,dɔʃdul,ˈmɛsi̯at͡s,lyn,ˈmɔanɪ,,bu.lan,,ˈlyno,ˈkuː,,ˈluː.na,*zla.ba,tʃando,,candra,dʒango,,,ˈʔaːmɐr,ˈlùːna,,ɑj,ˈmwanə,ˈkuː,ˈmaːnnuː,sar,tʰutʰä,t͡ɕɐn̪.d̪ɽɐ́,ˈlu.na
bite,lûːma,kaɖi,kəˈtsɛl,ʕadˁ.dˁa,kaɖi,kadikkuga,ɔdˈɡrizuva,,,kʼbɛtʃä,,,katʃine,ɡæzidæn,,koɾaka,ˈbaɪ̯sn̩,kat̚˨˩,muʃˈka,ˈkou̯sat,ɐtˈkusɨvətʲ,,,katʃtʃə,,,knɔj,koɾuku,kaɖə,ˈjɑmst̪ɨ,,muɾˈðeɾ,,ot̪ˈxapvəm,,tukud,ˈhɑukːɑmɑ,ˈhɒrɒp,mo.səˈɡa,kaat kanning,ko:hi,muɾʌ̹t͈e̞da̠,kaɪʔ,,,kafˈʃɔj,,ˈbæi̯sen,,kaɖi,ka̠mɯ̟ᵝ,,ˈbɛi̯tə(n),,kaɖi,ˈpurɤɑ,tina:ɾa,,,ɡiɡet,baɪt,,paɾtʃiʈtʃi,ˈhɑmːustɑmɑ,kʰāṃ,ˈpiːta,,,ˈpurdɑ,kuˈsat͡sʲ,,atekaʂin,kork,,χitʃuä,liqʰɛpʰ,,mɔʁdʁ,,ðaŋˈɡono,,,,ˈpurːɑ,kan˧˦,ˈmor.de.oː,,kʰatʃtʃna,,kaḍi,kask,,biːdə,,,kuôst,,,ˈpurːɑ,,xat͡səx,ɔkʼibinu,,ˈmɔrdere
few,,,kʰitʃʰ,qa.liːl,,,ˈmaɫku,,,tsɔtʼä,,,,,foː,,ˈveːnɪç,nɔːj˦˥,puˈt͡sin,ˈmaːlo,nʲɪˈmnoɡʲɪj,,,,kʊt͡ʃʰ,,əˈχədɨ̞ɡ,,,ˈve̞it̪ɨ,,ˈpow.kuʃ,ˈma.wɔ,,,,ˈveityʔ,ˈkɛveːʃ,ˈpɔk,,,ˈt͡ɕɘːk̚t͈a̠,nɛ́,,bʲɔɡ,,,,,,sɨ̥ᵝko̞ɕi,,ˈʋɛi̯nəx,,,ˈvæhæː,,ɑz,ɑz,,fjuː,,,ˈʋæhe,tic,,,ləɡ,ˈvæhæ,,kʲæm,,,ˈmɑlo,tʃʼitʃʼɛ,mɔid,ˈmaːlo,pø,,ˈliɣos,,,,ˈvæhæine,ʔit̚˧˦,ˈpau̯.kus,,,,,,nɔːj˥˧,fɔː,,mâlo,,æð,,ˈʋæhæn,,,mtsikʰä,,ˈpɔ.ko
rain,ímvûːla,maɭi,ɑnd͡zˈɾɛv,,maɭe,maɻa,dɔʃt,ˈʎubja,ˈɯʃkʲə,tsʼvimä,,ˈᶬvú.ɽa,bela,bɔːˈrɔːn,rɛŋn,ʋa:na,ˈʁeːɡən,fon˩˩˦,ˈplʷaje,ˈdɛːʃc,doʂtʲ,fɯn˨˦,ljɛˈtʊs,me,bɑː.ɾɪʃ,flʲaː,ɡlau̯,ʋarʂam,mai,ˈviːm,mɔːˈtˀɔːr,ˈʃu.vɐ,dɛʂt͡ʂ,dɤʃt,bɑrɪʃ,tukud,ˈvihm,ˈɛʃøː,ˈplu.ʒə,pɛɾ,dʒaɖa:,pi,mó,,ˈbˠɑːʃtʲəx,ʃiː,,ʀeːn,,maɭe,same,ˈt͡ʃuβja̝,ˈreː.ɣə(n),,maɻai,ˈsɑto,baɾsa,jaːˈmúɾ̝̊,jaɣˈɯʃ,hud͡ʒan,ɹeɪn,,meɖutti,ˈʋihm,b̥ʰliaṅ,ˈrɪkniŋk,,bɑˈrɑn,ˈvihm,doʂt͡ʂ,bɒːˈɾɒːn,ʋa:na,vāni,dɔʃt͡ʃ,tʃʼvɛmä,utʃχɛ,daːʃc,plɥi,ɹɛkn,vɾoˈçi,,rɪə̯(n),ˈplɥɛ(d)ʒo,ˈviːmɑ,mɨə˧˧,ˈplu.wi.a,*t͡ɕʰar.pa,tʃe:p,,maɭe,piɾ,,ˈʁɑɪ̯ˀn,ˈʃɪtɐ,ˈdə́ʃ,liɛ̂tus,jɑm.ˈʁɯ̞r,rai̯n,ˈsɑde,ˈarːviː,,mtʃʼimä,,ˈpjɔddʒa
laugh,,,t͡sit͡sɑˈʁɛl,dˁa.ħik,,,sɛ ˈsmɛ.ɛ,,,sitsili,,,,xændidæn,,,ˈlaχn̩,kʰam˩˩˦,,smaːt,smʲɪˈjat͡sːə,,,,ɦə̃s.nɑː,,,,,ˈnɑgrɨ,t͡saˈχak,ˈʁiɾ,ɕmʲat͡ɕ ɕɛ,,,,ˈnɑːrtmɑ,ˈnɛvɛt,ˈriw.ɾə,,,ˈuːt̚t͈a̠,jì,,ɡɑːɾʲ,cɛʃ,,ˈlaːχən,ˈkɛniːn,,ɰᵝa̠ɾa̠ɯ̟ᵝ,,ˈlɑxə(n),,,ˈnɑgrɑː,,,ɡylmæc,tawə,laːf,,,ˈnɑermɑ,soec,ˈl̥aiːja,ɦɔɦa,,ˈnɑgrdɑ,,xænd̪iːˈd̪æn,,,,dzitsä,litswnäl,ˈsmi̯ac sa,ʁiʁ,,,,ɫɐχ,,ˈnɑkruɑ,kɨəj˨˩,ˈriː.de.oː,,,,,,,leː,,,,,ˈlai̯tsjə,ˈnɑurɑː,ˈt͡ʃajːpmah(t),,dzitsini,,ˈri.de.re
drink,,kuɖi,χəˈmɛl,ʃa.ri.ba,kuɖipə,kuṭi,ˈpi.ɛ,beˈβeɾ,ɔːɫ̪,smä,,,,nɵʃidæn,drɪkːa,unnu,ˈtʁɪŋkən,dɯːm˨˩,be̯a,piːt,pʲitʲ,,ˈɡʲɛrʲ.tʲɪ,kuɖapə,piːn̪ɑː,,ˈəvɛd,ta:gu,unatukə,ˈjuːod̪ɨ,ʃaˈta,be.ˈbeɾ,pʲit͡ɕ,ˈpijə,,un,ˈjuːmɑ,ˈisik,ˈbəw.ɾə,kuning,ho:na:,ma̠ɕʰida̠,θaʊʔ,,oːl̪ˠ,pi,,ˈdʀeŋken,ˈvɛxwɑːɾɯn,kuɖipa,no̞mɯ̟ᵝ,,ˈdrɪŋkə(n),,kuɖi,ˈʝuvːɑ,paɾijaɾa,it͡ʃˈmɛ́c,itʃmæc,minom,dɹɪŋk,ˈe.vɑ̃,uʈʈudi,ˈjoːmɑ,pʰẏk,ˈtrɛhka,,,ˈjodɑ,,nuːʃiːˈdæn,aniɾusa:t,un,,ʃumä,litʰrɛ,ˈpic,bwaʁ,ˈtɾɛʰkːa,ˈpi.no,,,ˈbewre,ˈjuːvːɑ,ʔuəŋ˧˦,ˈbi.boː,*ⁿtʰuŋ,onna,,kuḍi,un,dɯːm˦˦,drekə,ˈʃɔrɔp,ˈpiːti,dzɛɾ̂t,,ˈdrɪŋkə,ˈjuodɑ,ˈjuhkah(t),,ɔʃu,pí.bɐ.t̪i,ˈbe.re
float,,,,,,,,,,tʼivtʼivi,,,,,flyːta,,ˈtʀaɪ̯bm̩,,,ˈplavat,ˈplavətʲ,,,,,,,,,ˈpluːokst̪ɨ,,,,,,,ˈhɤlʲomɑ,ˈlɛbɛɡ,floˈta,,,,mjɔ́,,,,,,,,,,ˈdrɛi̯və(n),,,ˈuʝuɑ,,,,,fləʊt,,,ˈhɤljumɑ,,,,,ˈujudɑ,,,,,,pʰäpʰäpʰi,,,flɔ.te,,,,,,ˈkeiluo,noj˧˩,ˈflu.i.toː,,,,,,,,,,,,,ˈkelːuɑ,,,mɔmkʰu,,ɡalledˈdʒare
head,îːkʰâːnda,maɳɖi,ɡəˈluχ,ra.ʔa.sa,tile,tala,,kaˈbeθa,,tʰävi,,ˈmu.tú,tɾajun,sær,ˈhʉːˌvɵd,talaka:j,kɔpf,hua̯˩˩˦,kap,ˈɦlava,ɡəlɐˈva,kʲau˥,,manɖe,sɪɾ,caun,pɛn,tala,manɖə,ˈpæː,ʁɔʃ,kɐ.ˈβe.sɐ,ˈɡwɔ.va,ɡləˈva,,ta:l,ˈpːæː,ˈfɛj,ˈkap,ka:ʈum,kukudu,mʌ̹ɾi,ɡáʊɴ,,caun̪ˠ,kɔkə,mat̪ʰa,,,maɳɖe,a̠ta̠ma̠,ˈtɛsta̝,ɦoːft,,talə,ˈpæː,manɖa,ˈbɑʃ,bɑʃ,kəpalə,hɛd,pɛ̃n,maʈʈə,ˈpeɑ,k̥pāl,hœːvʏθ,muɹ,,ˈpæ,ɣaɫaˈva,sæɾ,tal,tel,ɦɔlɔˈu̯ɑ,dudi,tʰχwim,ɦɫava,tɛt,hœtː,ce̞ˈfali,kə.pa.la,,kap,ˈpiæ,ʔɗəw˨˩,ˈka.put,*mɡo,kuk,,tale,talla,hua˩˨,hoːvəd,ˈrɐːs,ˈɡlàːʋa,ɡâlva,ˈbɑʂ,ˈholə,ˈpæː,ˈoɑ̯jːviː,tʰɔɮɢɔi,dudi,,ˈtɛs.ta
thick,,,hɑst,sa.miːk,,,,ˈɡɾweso,tʰʲu,skʰɛli,,,,,ɕɔk,,dɪk,naː˩˩˦,ɡros,ˈtlustiː,ˈtolstɨj,,,,,,teːu̯,,,ˈjɑmd̪i,,iʃ.ˈpe.su,ˈɡru.bɨ,dɛˈbɛl,,,ˈpːɑkːsː,ˈvɒʃtɒɡ,,,,tuk͈ʌ̹p̚t͈a̠,tʰù,,tʲuː,,,,,,,,dɪk,çʊkː,,ˈpɑksu,,,,,θɪk,,,ˈpɑks,juk,ˈθjɛhtʏr,,ɖaˈbəl,ˈpɑks,ˈtou̯stɨ,,,,,ʃχu,sgɛl,ˈtɫ̩stiː,e.pɛ,t͡ʃʰʏʰkːʊɹ,,,,,ˈpɑksu,zaj˨˩,ˈkras.sus,,,,,,,tyk,,ˈdɛ̀ːbɛw,,qɑˈɫɯ̞n,,ˈpɑksu,,t͡sʊt͡saŋ,pʼɛdʒi,,ˈspes.so
sleep,,aɾgu,kʰəˈnɛl,naː.ma,oɾa,uɾanguga,,dorˈmiɾ,,dzili,,,,xɔːbiˈdæn,soːva,undʒaʈam,ˈʃlaːfn̩,nɔːn˧,dorˈmi,spaːt,spatʲ,,,oɾəgədə,soː.nɑː,,ˈkəsɡɨ̞,nidɾapoʋu,oɾəgə,ˈmɑgːɨ,,duɾ.ˈmiɾ,spat͡ɕ,spʲɤ,,tukud,ˈmɑkɑmɑ,ˈɒlsik,duɾˈmi,xatʃing,andaɾpo ko:ɖa,t͡ɕa̠da̠,ʔeɪʔ,,ˈkɔd̪ˠɪlʲ,,,ˈʃloːfən,,oɾa,,,ˈslaː.pə(n),,uṟaṅku,ˈmɑkɑː,dʒippaɾa,,jɑtˈmɑχ,tido(r),sliːp,,oɾkʰə,ˈmɑgɑmɑ,ṭek,ˈsɔːva,xʊa,,ˈmɑgɑtɑ,,xɒːbiˈdæn,i:mangsati,maḍ,,luri,uʒ,ˈspac,dɔʁ.miʁ,,ciˈmame,ti.dur,,,ˈmɑguɑ,ŋu˧˩,ˈdor.mi.oː,,khandaɾna,ma.ˈtu.loɡ,malagu,mi:ɳɖa,nɔːn˦˥,,ˈraːʔɐt,ˈspaːti,ɡulɛ̂ːt,,,ˈnukːuɑ,ˈoɑ̯ððiːh(t),,ndʒiri,s̪ʋɐ́.pi.t̪i,dorˈmire
smell,,,hɔt,,,,,,,qʼnɔsvä,,,,,,,ɡəˈʁʊχ,klin˨˩,,ˈvuːɲɛ,ˈzapəx,,,,ɡənd̪ʱ,,,,,ˈnuːʃkɨ,ˈʁe.aχ,ˈʃɐj.ɾu,ˈza.pax,,,,ˈhɑisːu tːuntmɑ,ˈsɒɡ,oˈlo,,,ˈne̞ːmsʰe̞,ʔəna̰ɴ,,,ɛːɹ,,,,,ɲ̟io̞i,,ɣøːr,,,ˈhɑisːɑː,,koˈku,ɡɔxu,bau,smɛl,,,ˈhɑistmɑ,k̥lin,lɪxt,,buj,ˈmujudɑ,pax,,,,,ʃuräpʰä,likʰwni,,ɔ.dœʁ,,miɾoˈðʝa,,,,ˈhɑiʒuo,muj˨˩,ˈo.dor,,,,,,,loɡt,,,,jɪ̞θ,,ˈhɑistɑː,,,ɔʃuru,,oˈdo.re
husband,uḿ̩jeːni,,ɑmuˈsin,zawd͡ʒ,,,maʃ,maˈɾido,,kʰmäri,,,,,ˈmɑːˌkɛ,,,saː˩˩˦.miː˧,sots,ˈmanʒɛl,muʂ,po˧,ˈʋʲiːrɐs,,,,ɡuːr,,,ˈmiːe̞z,,ma.ˈɾi.du,mɔŋʂ,ˈmɤʃ,,,ˈmiːsː,ˈfeːrʝ,məˈɾit,,,na̠mpʰjʌ̹n,lɪ̀ɴ,,fʲaɾˠ,bur,sami,mɑn,,,o̞t̚to̞,,mɑn,,,ˈmeːz,,kɔˈd͡ʒɑ,æɾ,suami,ˈhʌzbənd,ˈɡwaː,,ˈmeːs,p̥ṭī,ˈeiːjɪn.maːðʏr,ɡi.ɹi,,ˈmezʲ,muʂ,ʃoʊˈhæɾ,,,t͡ʃɔlɔˈu̯ʲik,kʰɔmɔndʒi,tʃʼæʃ,,ma.ʁi,ˈmɛaːvʊɹ,,,,,ˈmies,t͡ɕəwŋ͡m˨˩,maˈriː.tus,,,,,,pʰua˩˨,mæn,ˈraːdʒɛl,ˈmóːʃ,vīːɾs,irĕ,,ˈmies,ˈpoɑ̯dːɲiː,,kʰɔmɔli,,maˈri.to
liver,ísiɓîːndi,tədlə,ljɑɾtʰ,kab.ba.da,tombe,īral,ˈd͡ʒiɡɛr,ˈiɡado,,ʁvidzli,,t͡ʃíˈw⁽ᵝ⁾i.ⁿdi,,dʒiɡær,,ka:dʒam,ˈleːbɐ,tap̚˨˩,,ˈjaːtra,ˈpʲet͡ɕɪnʲ,tap˥,,,,eːn,ˈavɨ̞,ka:lejamu,i:ru,ˈmɑksɑː,,ˈfi.ɡɐ.du,vɔnˈtrɔ.ba,ˈtʃɛrɛn drɔp,,taɖing,ˈmɑsːsː,ˈmaːj,ˈfe.d͡ʒə,dʒagaɾ,tʃedɾo,ka̠nd͡ʑa̠ŋ,ʔəθɛ́,,eː,,,ˈliəvɐ,,tombe,kã̠nd͡zo̞ː,,ˈleːvər,ˈleːʋɛr,i:ɾaɭ,ˈmɑksɑ,mannə,kaɾadʒiːeɾ,,hati,lɪvə(ɹ),ˈɑːvy,kuɖa:l,ˈmɑks,t̥ʰloem,ˈlɪːvʏr,,,ˈmɑks,ˈpʲet͡ʂanʲ,dʒeɡæɾ,kaleja,taruṅg,,tʃχɔntʃχi,qʼwiʒɛ,ˈpɛtʃɛɲ,fwa,ˈliːvʊɹ,,ha.ti,,,ˈmɑksɑ,ɣaːn˧˧,ˈje.kur,,umbalkʰo,,hīri,taɾki,tap˦˥,leːvər,,ˈjèːtra,aknas,bɑˈwɯ̞r,,ˈmɑksɑ,,iɮəɡ,dʒigɛri,jɐ́.kr̩t̪,ˈfeɡato
human,,,mɑɾtʰkɑˈjin,ba.ʃa.rijj,,,,uˈma.no,,ädämiäni,,,,,²mɛnsklɪ(ɡ),,mɛnʃlɪç,,o.meˈnesk,ˈlɪtskiː,t͡ɕɪlɐˈvʲet͡ɕɪskʲɪj,,,,,,,,,ˈriʃt̪iːng,,u.ˈmɐ.nu,ˈlut͡s.kʲi,,,,ˈinemine,ˈɛmbɛri,uˈma,,,ˈsʰa̠ːɾa̠m,,,,,,,,,⟨pi1to2⟩,,,,,ˈinemin,,,,,ˈ(h)juːmən,,,ˈinimene,,,ma.nuʱ,,ˈristit,,,,,,kʼɔtʃi,ämswäld,,y.mɛ̃,,,,,,ˈihmini,,,,,,,,,,,tʃlɔˈʋèːʃki,,,,ˈihminen,,,kʼɔtʃi,mɑː.n̪ɐ.ʋɐ́,
squeeze,,,sɛʁˈmɛl,,,,,ekspɾiˈmiɾ,,mɔtʃʼɛrä,,,,,,,ˈdʁʏkŋ̩,biːp̚˨˩,,,ʐːɨˈmatʲ,,,,,,,,,ˈpiːkst̪ɨ,,,ˈɕt͡ɕi.skat͡ɕ,,,,ˈpːitːsːitːæmæ,ˈɲom,əsˈpɾe.mə,,,t͡ɕ͈a̠da̠,ɲ̊ɪʔ,,,,,,,,,espɾeˈmeɾ,ˈklɛmə(n),,,ˈlutisɑː,,,,,skwiːz,,,ˈpigistɑmɑ,kiap,,,,ˈɑhtiʃtɑdɑ,,,,,,mɔntʃʼirä,litʰlɛ,,pʁɛ.se,,,,,,ˈlitʃɑtɑ,ʔɗɛ˨˩,ˈkom.pri.moː,,,,,,,,,,,,,ˈpuristɑː,,,ɔzdimu,,
bad,,,vɑt,saj.jiʔ,,,,ˈmalo,ˈt̪ɔnə,tsudi,,,,,ˈdoː.lɪ(ɡ),,ʃlɛçt,leːw˧,rəw,ˈʃpatniː,plɐˈxoj,,ˈbloːɡɐs,,,,druːɡ,,,ˈæbjɨvɑː,,ʁuˈĩ,zwɨ,,,,ˈhɑlv,ˈrosː,doˈlent,,,na̠p͈ɯda̠,sʰó,,ˈd̪ˠʊnˠə,,kʰaɾap,,,,ɰᵝa̠ɾɯ̟ᵝi,,slɛxt,,,ˈpɑhɑ,,,pis,,bæd,,,ˈhɑlb,ʾāk̥rk´,ˈvɔntʏr,bɛa,bəd,ˈhond,ˈdrenːɨ,bæd,,,,gläχä,χɔlä,ˈzɫiː,mo.vɛ,ˈɪtlʊɹ,kaˈkos,bu.ruʔ,,,ˈhuono,səw˧˦,ˈma.lus,,,,,,,dɔːli,ħɐˈziːn,ˈsláp,,nɑ.ˈsɑr,,ˈpɑhɑ,,mõː,pʼätʼi,,kaˈtːiːvo
two,,əddu,jɛɾˈku,(ʔi)θnaːn,iɾandə,ɾendə,,dos,,ɔri,tsvɛj,,rinɖa,,tvoː,ɾeɳɖ,t͡svaɪ̯,sɔːŋ˩˩˦,doj,dva,dva,ŋei˧,,eɾaɖə,,d̪eː,daɨ̯,ɾeɳɖu,eɖu,ˈkɑkʃ,,ˈdojʃ,dva,,,iɾuɖu,ˈkːɑtːsː,ˈkɛtːøː,ˈdos,iɾat,pa:nɖa,tuːɭ,n̥ɪʔ,iˈkːi,d̪ˠoː,dy,,t͡sweː,,daɳɖə,ɲ̟i,,tʋeː,,ɾenɖə,ˈkɑhsi,ɾaɖɖu,iki,iki,duə,tuː,,e:ɖə,ˈkɑks,bīr,tʰveiːr,dui,dwa,ˈkɑks,dva,duː,duɖə,ir(ḍu),ˈdʋɑ,ʒiri,jɔri,ˈdva.ja,dø,,ˈðiˌo̞,,tvɪə̯,,ˈkɑksi,haːj˧˧,ˈdu.o,*gȵis,i:rəb,da.laˈwa,jeɾaɖu,ɾeɳɖu,sɔːŋ˩˧,toː,,ˈdʋáː,,iˈkɪ̞,,ˈkɑksi,ˈku̯okːte,xɔjər,ʒur,,ˈdu.e
